RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
40.88395370351,60.97797396353,465599812376152448,0.9126,0.0491,2.594,-1.471,2.137,31,1.416,,0.988,16.164633,16.862309,15.345198,1.517111,,42.52920592026,40.88396717642,60.97796446765,0.941769
40.56685183458,61.11225738153,465613869810235776,0.8263,0.0889,2.683,-1.991,1.799,31,1.394,,1.024,17.273977,18.071709,16.394646,1.677063,,42.71459461424,40.56687015511,61.11224938766,0.857201
40.43380736925,61.16349010194,465617954318554112,0.9145,0.0899,2.822,-1.555,2.354,31,1.367,,1.009,17.450153,18.343956,16.53142,1.812536,,42.78773247436,40.43382170184,61.1634796378,0.946949
40.85041139938,61.34116686029,465625758279504768,0.8936,0.0867,2.857,-2.143,1.89,31,1.351,,0.98,17.445694,18.397396,16.483128,1.914268,,42.86720485118,40.85043125546,61.34115846219,0.927134
40.16628928656,61.31639928142,465646369819233152,0.9878,0.1105,2.838,-1.909,2.1,31,1.351,,0.96,17.870052,18.870697,16.925976,1.944721,,42.98021132166,40.16630696273,61.31638994798,1.016958
40.77947174508,61.53442445902,465676576334468352,0.9182,0.0615,2.506,-1.933,1.594,31,1.416,,1.06,16.935408,17.629023,16.09399,1.535032,,43.05730503338,40.77948977318,61.53441737558,0.947983
41.81730433957,61.44090070819,465709591742328576,0.9154,0.0584,2.538,-1.561,2.001,31,1.383,,0.961,16.88102,17.703257,15.995484,1.707772,,42.76977721462,41.8173188516,61.44089181391,0.946446
41.83307076094,61.54276198694,465712516619396352,0.8377,0.0966,2.599,-1.571,2.071,31,1.382,,0.998,17.555767,18.418793,16.670725,1.748068,,42.85991125068,41.83308541394,61.5427527825,0.86876
41.9286747408,61.65538315824,465713513051918976,0.8635,0.0696,2.773,-1.643,2.234,31,1.406,,1.001,17.065365,17.796772,16.234787,1.561985,,42.94453256961,41.92869012006,61.65537323133,0.893734
40.84511723002,61.83897187481,465778556039769856,0.9408,0.0538,2.783,-2.254,1.633,95,,1.4206,1.032,16.644726,17.326363,15.84057,1.485793,,43.32181989303,40.84513845573,61.83896461916,0.971297
41.38930650638,61.96385471615,465782713566439936,0.964,0.0662,2.613,-1.629,2.043,31,1.421,,1.028,16.738688,17.411337,15.918925,1.492412,,43.33003119202,41.38932191379,61.96384563808,0.993435
40.64739361822,61.87177541441,465789310636096000,0.9833,0.0396,2.852,-1.552,2.392,31,1.425,,1.065,16.036766,16.704792,15.236662,1.46813,,43.39032880608,40.64740824475,61.8717647812,1.01346
40.39231632623,61.87460893633,465792776664493056,0.8847,0.0905,2.739,-1.458,2.319,31,1.362,,1.055,17.578274,18.483139,16.630777,1.852362,,43.44296379828,40.39233007121,61.87459862993,0.916612
40.82995926889,61.96954097705,465797174711250816,0.8363,0.05,2.345,-1.315,1.941,31,1.437,,0.974,16.42169,17.058884,15.64801,1.410873,,43.44362517345,40.82997170839,61.96953234945,0.865062
41.16559381862,62.22477576742,465824357570342272,0.9116,0.0661,2.432,-1.62,1.814,31,1.396,,1.017,17.059484,17.842627,16.19972,1.642906,,43.61091589362,41.16560927022,62.22476770622,0.942167
39.20924394052,61.61833645126,465867650836499200,0.805,0.0458,2.529,-1.666,1.903,31,1.411,,1.001,16.459356,17.176386,15.61771,1.558676,,43.44622290894,39.20925951491,61.61832799554,0.8344480000000001
