RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
39.64763296571,59.68439071138,-2.455,0.226,19.534328,2.221422,0.8802,3
39.76339254293,59.73727522388,-3.296,0.773,14.241471,1.400116,1.0608,3
39.965756302,59.89437875227,-3.093,0.268,20.881147,1.647907,0.8628,3
39.99477761598,59.9234270112,-2.487,0.338,20.309158,2.035408,1.0592,3
40.00043892867,60.03774740872,-2.302,0.252,19.857098,2.159866,0.8939,3
40.52089272913,59.76616503608,-2.985,0.666,18.660643,2.280245,0.921,3
40.60066231974,59.94975790303,-2.756,0.132,19.863998,1.886276,0.8345,3
40.80226608701,59.90906869633,-3.403,0.38,15.126645,1.385438,0.9589,3
40.66489131115,60.15668262068,-2.912,0.507,19.504723,2.119165,0.8318,3
40.6099411242,60.34463408301,-2.652,0.477,19.514124,2.099703,0.9996,3
40.47755418238,60.39160879485,-2.028,0.101,19.124184,2.059073,0.9411,3
42.40777584583,59.83589702132,-2.426,0.281,19.470999,2.05357,0.8447,3
42.41768391279,59.85455516557,-3.089,0.132,20.021288,1.809622,1.0465,3
42.65457545279,59.87158852686,-3.468,0.53,19.67936,2.167965,0.8326,3
42.87507834895,59.99988674752,-3.086,0.308,20.903332,1.606594,0.9642,3
42.66721088779,60.00639403857,-2.304,0.654,19.248951,2.30732,0.878,3
42.25692384199,60.04064889835,-3.466,0.284,18.965008,2.158192,0.8689,3
42.79773730618,60.19460048273,-2.566,0.636,19.744478,2.022129,0.9066,3
42.66071143383,60.29189143339,-2.664,0.58,18.580976,2.071835,1.0178,3
43.43968067847,60.18830473845,-2.495,0.181,20.603708,1.471186,0.9104,3
43.20740554062,60.23926780536,-3.512,0.852,18.038322,1.779346,0.9703,3
43.24664485056,60.35814701225,-3.716,0.657,15.230067,1.287094,0.8689,3
42.86294740541,60.45432352889,-3.027,0.105,20.13453,2.529221,0.852,3
42.86762126498,60.50849957724,-2.55,0.458,20.327839,2.179369,0.8841,3
43.39648986252,60.62988331454,-3.403,0.092,20.062263,2.009115,0.9244,3
43.46632684236,60.69360254084,-3.354,0.157,20.48409,1.511158,0.995,3
43.23807554112,60.69052693935,-2.297,0.488,20.11242,2.655872,0.9276,3
44.05900150864,60.71132316987,-3.039,0.3,20.81015,1.635233,0.9436,3
44.28458210596,60.90294305366,-2.533,0.646,19.578823,2.649956,0.8939,3
44.28982325905,60.89540151372,-3.527,0.198,20.281654,2.105337,0.8572,3
44.1483707194,60.87697450427,-3.564,0.204,20.156546,1.864937,0.8695,3
43.67181780398,60.82501001604,-2.893,0.191,19.538067,1.945059,0.8307,3
43.66500896902,61.02140236423,-2.544,0.434,17.408283,1.707972,0.9577,3
43.89876067156,61.06093597798,-3.481,0.526,20.114857,2.434477,0.9749,3
41.5374722061,59.88410079009,-3.076,0.635,19.163235,1.950617,0.9702,3
42.05827753003,59.95883623436,-3.354,0.375,17.641064,1.83843,0.8186,3
41.37479983592,60.03120712044,-3.636,0.304,18.960003,2.348904,0.859,3
41.49651527002,60.19671588608,-3.061,0.18,19.86318,1.81221,0.8387,3
42.45845440912,60.43892927236,-1.277,0.187,19.717522,3.036896,1.0271,3
41.9124376746,60.27597073393,-2.802,0.227,15.700878,1.467125,1.0092,3
41.85355524601,60.49913620425,-3.462,0.385,18.974407,1.972235,0.8619,3
41.27345698058,60.21349821905,-2.562,0.258,20.06039,1.942122,0.8713,3
41.45486117527,60.34644997086,-2.878,0.536,20.151909,2.294271,0.8908,3
40.78670155793,60.3479725974,-2.566,0.232,19.069532,2.069258,0.9298,3
41.61085344369,60.68134262594,-2.21,0.467,20.217342,1.994173,1.0052,3
41.80418159077,60.6905673788,-3.692,0.241,20.592262,1.916639,0.9689,3
42.01995634983,60.73994389829,-3.119,0.726,19.17391,1.93214,0.8382,3
41.75114624713,60.75843193448,-2.151,0.334,20.574713,2.228113,0.9842,3
41.78137132957,60.81503713197,-3.342,0.658,20.334373,1.934284,0.9757,3
41.77004288626,60.84788446095,-1.546,0.624,19.150116,3.194552,0.8514,3
41.90917071711,60.91039026005,-3.016,0.104,17.90526,1.978344,0.9362,3
41.31128465565,60.7039056778,-3.468,0.741,16.822418,1.70203,0.9774,3
41.35408912341,60.95075688631,-1.006,0.595,19.103632,3.048855,0.9502,3
41.74493278991,60.99006210127,-2.929,0.599,20.306236,1.91571,0.9283,3
42.6772349307,60.59985957768,-2.682,0.415,17.394407,1.863861,0.9442,3
42.7500662938,60.66242010977,-3.696,0.42,18.984476,2.536478,0.8118,3
42.47416344691,60.83053024036,-3.511,0.609,18.040623,1.859186,0.8266,3
42.56959999351,61.09174894305,-1.938,0.153,20.739368,1.669504,0.9488,3
43.34379163609,60.91119323794,-3.503,0.159,15.11079,1.221635,0.8301,3
43.15363076357,61.09095172127,-2.371,0.322,20.025345,2.271467,1.0616,3
43.52403336106,61.15919857638,-3.505,0.335,15.507787,1.424546,0.8127,3
43.28921197344,61.34779526128,-2.062,0.72,20.540962,1.750334,0.9663,3
43.22128672332,61.52651680051,-3.66,0.646,20.08255,2.702473,0.8273,3
42.21742538476,61.12092297685,-3.398,0.416,15.86278,1.399658,1.0345,3
42.44558127531,61.21264583923,-2.992,0.729,19.012804,2.122753,0.8313,3
42.37567028075,61.34718715091,-1.755,0.339,19.623888,1.997786,0.8826,3
41.90015490019,61.17032450421,-1.295,0.342,19.932709,2.054268,0.9263,3
42.00732421252,61.22419663089,-2.645,0.245,20.229334,1.869936,0.9632,3
42.5115064872,61.40089479918,-1.966,0.34,19.85258,1.73288,0.9313,3
42.58024272865,61.48943241655,-2.999,0.578,19.579165,2.316689,1.0137,3
42.43103582383,61.42203622219,-2.556,0.755,19.071812,2.03145,0.8567,3
42.32032979409,61.61419174125,-2.891,0.498,20.144094,1.633217,0.8589,3
42.27936839069,61.69264414851,-1.847,0.131,20.047997,1.969854,0.8395,3
42.75842456242,61.68045145575,-2.787,0.321,19.579357,1.654865,1.0797,3
42.69017814366,61.64400794756,-3.51,0.379,20.497086,1.756455,0.8154,3
42.5869943293,61.90623521877,-1.98,0.131,20.269054,1.857231,0.9733,3
