RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
40.6820845097,60.0166133766,464412034879524480,0.8676,0.0609,4.086,-3.686,1.765,31,1.366,,1.047,16.839808,17.724962,15.90429,1.820672,,41.6910086768,40.68211728707,60.01660553409,0.8996540000000001,3
40.84728395122,60.12293786884,464414367043563008,0.8363,0.3874,3.599,-3.044,1.92,95,,1.3449,1.049,19.714481,21.004602,18.622301,2.382301,,41.75501492533,40.84731110929,60.12292933333,0.861699,3
40.18738769053,59.97037782106,464417601157191936,0.8297,0.0537,3.093,-2.694,1.519,31,1.412,,1.344,16.039736,16.726347,15.173009,1.553338,,41.74909960364,40.18741161652,59.97037106798,0.860496,3
40.29396512304,60.06718025668,464419761522401408,1.019,0.1644,2.673,-2.413,1.149,31,1.335,,0.9,18.54225,19.523895,17.551977,1.971918,,41.81582657308,40.29398661822,60.0671751494,1.040531,3
40.37642240458,60.08149405356,464420246856984192,0.7996,0.2927,4.306,-3.541,2.45,95,,1.2944,1.034,19.315372,20.644342,18.134302,2.51004,,41.81216706943,40.37645395665,60.0814831654,0.824964,3
40.12951972599,59.99889442272,464420826674166400,1.0031,0.4771,2.472,-2.063,1.362,95,,1.2655,0.999,19.968021,20.979702,18.943422,2.03628,,41.78693878277,40.12953806434,59.99888836947,1.030833,3
40.26369536053,60.09446864032,464422823837363200,0.8428,0.0182,4.271,-3.645,2.227,31,1.448,,1.064,14.00832,14.601031,13.258001,1.34303,,41.84689820425,40.26372784928,60.09445874169,0.876972,3
40.64547897666,60.31389248039,464429249106157056,0.8451,1.1998,3.496,-2.594,2.344,95,,1.3315,1.143,20.621077,21.3796,19.586798,1.792803,,41.97019752852,40.64550225644,60.31388206417,0.89432,3
40.49639177074,60.32183988097,464431997880722048,0.9825,0.8149,2.91,-2.543,1.415,95,,1.4185,1.083,20.516092,21.21742,19.440954,1.776466,,42.00746999563,40.49641459323,60.32183359275,1.02255,3
42.40300529867,59.87959682297,464533599636297984,0.7287,0.0347,4.531,-3.554,2.812,31,1.441,,0.978,15.596046,16.217943,14.831177,1.386766,,41.22292572713,42.40303677256,59.87958432675,0.762459,3
41.98527179429,59.87435969131,464536309755297920,1.0424,0.6202,4.226,-2.517,3.395,95,,1.3651,1.055,20.320965,21.77903,19.161274,2.617756,,41.30029707746,41.98529407872,59.87434460099,1.079747,3
42.2886858559,59.93826018819,464537684143647360,1.0079,0.1873,4.122,-3.496,2.184,31,1.311,,0.949,18.620556,19.816578,17.585798,2.23078,,41.29933309539,42.2887168699,59.93825048171,1.029097,3
42.22383136018,60.03923786935,464539230332138240,0.8251,0.267,2.911,-2.208,1.897,95,,1.2925,1.058,18.966179,20.163263,17.910124,2.25314,,41.40494268257,42.22385101185,60.03922943726,0.8499969999999999,3
42.62557640264,59.91369876719,464545621243209472,0.8517,0.1168,4.28,-2.916,3.133,31,1.368,,1.048,17.919992,18.797844,16.957718,1.840126,,41.21081746884,42.62560225159,59.91368484089,0.879402,3
42.63689862521,59.92881413189,464545728619267840,0.9868,1.0142,2.767,-2.05,1.858,95,,1.2898,1.193,20.442717,21.296616,19.450232,1.846384,,41.22253424775,42.63691680636,59.9288058719,1.029812,3
42.81059020486,59.93744094563,464546308438009600,1.063,0.1378,4.426,-3.023,3.232,31,1.354,,1.028,18.285635,19.292381,17.294668,1.997713,,41.19668168467,42.81061702814,59.93742657923,1.087041,3
42.72328222536,59.94242003007,464546999925654528,1.0355,0.4549,4.471,-2.903,3.4,95,,1.2642,0.973,19.900238,21.093262,18.832863,2.260399,,41.21824545312,42.7233079885,59.94240491854,1.062826,3
42.73890417035,59.9317997878,464546999925664128,0.9529,0.5734,3.542,-2.027,2.904,95,,1.4669,1.079,20.243702,21.135107,19.29167,1.843437,,41.20541944695,42.73892215428,59.93178688051,0.981256,3
42.73712953254,59.9526102357,464547171733759488,0.9963,0.4656,3.569,-3.462,0.868,95,,1.3844,1.186,19.856197,20.506659,18.664509,1.84215,,41.22494150128,42.73716026245,59.95260637847,1.021202,3
43.01300597589,60.03337736448,464553047240777984,1.0699,0.3442,2.489,-1.549,1.949,95,,1.3764,1.147,19.477407,20.393267,18.493896,1.89937,,41.24591227264,43.01301975757,60.0333687043,1.0918800000000002,3
42.95857761841,60.07449873564,464553489623711872,0.9668,0.1957,3.753,-1.992,3.181,31,1.329,,1.032,18.927292,20.141542,17.900766,2.240776,,41.29434561894,42.95859536361,60.07448459834,0.983421,3
