Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb
NGC_1027,465569644525116032,40.7088263908,60.70583615361,0.4261,-2.249,2.423,19.446592,20.233696,18.255714,0.07
NGC_1027,465578474977889920,40.15744216973,60.71704703789,0.7059,-1.639,1.705,18.316652,19.140373,17.406242,0.22
NGC_1027,464965879504119680,42.54806970092,61.29765231866,0.5044,-1.839,2.012,19.335075,20.331005,18.273722,0.11
NGC_1027,464956361855632896,42.13862493076,61.39410904137,0.8718,-1.764,2.044,11.991033,12.20776,11.621119,1.0
NGC_1027,465266591630942592,38.87030625267,60.81985946652,0.5706,-1.598,1.933,18.525806,19.443117,17.575926,0.05
NGC_1027,464956494994014208,42.16783027742,61.41408210903,0.6375,-1.267,1.793,19.330463,20.72438,18.284159,0.05
NGC_1027,465266630285432192,38.90166511799,60.83824639139,0.5218,-1.287,1.898,19.102661,19.834332,17.933079,0.05
NGC_1027,465570817057142016,40.90939777304,60.76362149855,0.8074,-2.397,2.141,17.976383,18.898582,16.95378,0.22
NGC_1027,464921692878947328,43.35479049989,61.43030107559,0.3767,-1.764,1.632,19.36625,20.163334,18.188177,0.05
NGC_1027,465571126294770560,40.86119881912,60.79736869372,0.9156,-1.822,2.217,18.330185,19.382988,17.323883,0.89
NGC_1027,465571160649993088,40.93879820423,60.77224358803,0.8894,-1.991,1.411,19.904419,21.104252,18.746155,0.07
NGC_1027,464957461360636672,41.91716434967,61.35343561802,0.5616,-1.618,1.094,19.977283,20.228289,18.634089,0.07
NGC_1027,464957938102870656,42.00890280614,61.3738428968,1.1368,-1.476,1.607,18.726551,19.809914,17.743252,0.07
NGC_1027,464958182915183616,41.87484302131,61.33853247561,0.4298,-1.636,1.402,19.30393,19.981382,18.15103,0.05
NGC_1027,465572496383817216,40.90854125252,60.86966186628,0.9117,-1.304,2.54,18.282572,19.21554,17.200605,0.12
NGC_1027,465268962453123840,39.04650395131,60.96113535113,1.187,-2.203,2.005,18.705645,19.874285,17.66284,0.07
NGC_1027,465572736902032256,40.83226187719,60.88626302915,1.137,-1.548,1.73,18.534456,19.574432,17.545769,0.26
