RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
39.99475555849,59.92342851484,464396710432723456,1.0592,0.6399,2.51,-2.487,0.338,95,,1.2551,1.054,20.309158,21.270416,19.235008,2.035408,,41.74558061254,39.99477761598,59.9234270112,1.096877
40.12042330552,59.97414224065,464397122749576320,0.9963,0.4837,2.92,-2.178,1.945,95,,1.3275,0.973,20.147661,21.04692,19.140955,1.905966,,41.76619463166,40.12044265125,59.97413359589,1.029284
40.00041844603,60.0377485294,464398492844296320,0.8939,0.4377,2.315,-2.302,0.252,95,,1.2725,0.998,19.857098,21.008509,18.848642,2.159866,,41.8487564084,40.00043892867,60.03774740872,0.921608
40.68095987038,59.75408010443,464399115613078784,0.9013,0.5261,2.264,-0.267,2.248,95,,1.4981,1.086,20.208359,21.104816,19.177406,1.92741,,41.45098967189,40.68096222944,59.75407011484,0.926652
40.52086638516,59.76616799711,464399734093327488,0.921,0.1747,3.058,-2.985,0.666,95,,1.2634,1.04,18.660643,19.855822,17.575577,2.280245,,41.49455105048,40.52089272913,59.76616503608,0.956069
40.62257769161,59.88101424914,464402203695684352,0.8731,0.2984,2.466,-1.774,1.713,95,,1.2658,1.022,19.536285,20.762604,18.494759,2.267845,,41.57898763526,40.62259340442,59.8810066372,0.90048
40.65241016749,59.89140425621,464402272415187712,0.9509,0.4059,2.597,-1.722,1.944,95,,1.3814,1.022,19.852753,20.777428,18.86538,1.912048,,41.58245424699,40.65242542555,59.8913956165,0.976034
40.60063785898,59.94975849181,464405948907349760,0.8345,0.395,2.759,-2.756,0.132,95,,1.3358,1.063,19.863998,20.825544,18.939268,1.886276,,41.64631737267,40.60066231974,59.94975790303,0.8612420000000001
40.480541968,59.98455859134,464406704821675136,0.8817,0.1235,3.716,-3.342,1.626,31,1.339,,1.018,17.955208,18.941055,16.992641,1.948414,,41.70246606838,40.48057165951,59.98455136488,0.910506
40.80223592527,59.90907038501,464407671193238784,0.9589,0.0267,3.424,-3.403,0.38,31,1.442,,1.009,15.126645,15.746266,14.360828,1.385438,,41.56834504923,40.80226608701,59.90906869633,0.992735
40.97842115805,59.97265514372,464409526616150528,0.8759,0.9202,3.058,-2.137,2.187,95,,1.5065,1.112,20.544363,21.550869,19.44764,2.103229,,41.59108993825,40.9784401353,59.97264542368,0.907609
40.94345458558,59.99453330771,464409801494396672,0.8246,0.8003,3.154,-0.186,3.149,95,,1.2493,1.003,20.564945,21.381775,19.557877,1.823898,,41.61815200902,40.9434562351,59.99451931317,0.870252
40.69908824824,59.98918753271,464411824422705536,0.897,0.3786,2.995,-0.826,2.879,95,,1.3598,1.082,19.675735,20.736069,18.633106,2.102962,,41.66248551008,40.69909558455,59.98917473735,0.921491
40.66613959135,60.00480637138,464411996221426816,0.8132,0.1637,2.681,-1.51,2.215,95,,1.309,0.978,18.517591,19.729881,17.43252,2.297361,,41.68342765595,40.66615301939,60.00479652769,0.8445710000000001
40.84728395122,60.12293786884,464414367043563008,0.8363,0.3874,3.599,-3.044,1.92,95,,1.3449,1.049,19.714481,21.004602,18.622301,2.382301,,41.75501492533,40.84731110929,60.12292933333,0.861699
40.89607859719,60.17290630809,464414916799436160,0.8545,0.2361,3.105,-0.029,3.105,31,1.321,,1.05,19.038248,20.116995,18.029442,2.087553,,41.79094325029,40.89607885775,60.17289250698,0.870641
