Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,41.048801703,61.21089631194,136.08476613923,1.25218947593,-1.704,1.943,0.7572,Gaia DR2  465609536182815360,41.04881693554,61.210887946,465609536182815360,,17.8325,1.8912,0.8
NGC_1027,40.63491609203,61.26634709008,135.88061511972,1.21939231129,-1.491,1.716,0.8786,,40.63492944212,61.26633970245,465619470447676672,,13.1054,0.7795,0.1
NGC_1027,40.89106616964,61.30798719064,135.97516292481,1.30851358743,-1.556,2.074,0.8822,Gaia DR2  465622734622550784,40.89108012196,61.30797826255,465622734622550784,,16.0096,1.4144,1.0
NGC_1027,40.67893643136,61.33281323503,135.87225230784,1.28863636838,-2.031,1.773,0.7794,Gaia DR2  465620844836944128,40.67895465587,61.33280560004,465620844836944128,,14.4833,1.0732,0.8
NGC_1027,41.25893597953,61.23554476316,136.16609734326,1.31722103009,-1.569,2.072,0.986,Gaia DR2  465610399476734080,41.25895001902,61.23553584303,465610399476734080,,17.2124,1.5834,0.6
NGC_1027,40.46749023004,61.10274843207,135.8748206688,1.03706566102,-1.212,1.754,1.0378,,40.46750102846,61.1027408814,465593563203826816,-46.16494654480198,11.2395,1.6944,0.1
NGC_1027,40.1751466165,61.63463226477,135.52865330602,1.46455578899,-1.832,2.074,0.9329,Gaia DR2  465687056054444416,40.175163217,61.6346233358,465687056054444416,,17.9638,1.7828,0.9
NGC_1027,40.21187700365,61.77726836065,135.48621600576,1.60184574053,-1.68,2.104,0.9525,Gaia DR2  465696986018702848,40.21189230313,61.77725930133,465696986018702848,,14.2111,1.0387,1.0
NGC_1027,40.54527046023,61.58580758184,135.70920829795,1.49239337507,-1.773,2.322,0.8925,Gaia DR2  465679325113312000,40.5452864993,61.58579758331,465679325113312000,,13.2183,0.8016,1.0
NGC_1027,39.90494232009,61.6395643582,135.40934189703,1.4168605533,-1.635,2.632,0.9434,Gaia DR2  465689255077949184,39.90495713527,61.63955302593,465689255077949184,,15.9396,1.4191,0.9
NGC_1027,40.18349951301,61.79466019899,135.46685398725,1.61223180391,-1.696,2.851,0.7186,,40.18351496743,61.79464792523,465697741932937856,,17.5641,1.7257,0.2
NGC_1027,40.20190577342,61.73559012745,135.49896150443,1.56188305417,-1.85,2.311,0.765,Gaia DR2  465696569401435136,40.20192259756,61.73558017572,465696569401435136,,17.581,1.6336,0.9
NGC_1027,40.57755171663,61.73713847756,135.66050578878,1.63649637958,-1.776,2.055,0.8357,Gaia DR2  465682692367536384,40.57756786265,61.73712963146,465682692367536384,-43.82553042174487,8.0739,1.9959,1.0
