RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
39.802559946,61.23605935721,465656578965634560,0.9236,0.0527,2.414,-1.619,1.791,31,1.415,,1.027,16.42428,17.127474,15.597912,1.529562,,42.97999927997,39.80257489728,61.23605139779,0.952957
39.83376798497,61.34914741189,465659740061498496,0.8444,0.0424,2.208,-1.591,1.531,31,1.399,,0.977,16.177649,16.941673,15.326575,1.615098,,43.0764715319,39.83378273297,61.34914060927,0.87405
40.27329020601,61.45662821946,465672964256897152,0.8697,0.0954,2.337,-1.751,1.548,31,1.339,,1.035,17.624388,18.638344,16.631733,2.006611,,43.08646829802,40.27330649034,61.45662133726,0.902683
40.64888912395,61.38598351394,465673960692692864,0.9612,0.1235,2.392,-1.49,1.871,31,1.331,,0.956,18.116726,19.18954,17.119562,2.069979,,42.94778724247,40.64890294809,61.38597519786,0.988434
40.54694803927,61.50271929072,465675579901899904,0.8809,0.0438,2.392,-1.325,1.992,31,1.43,,1.184,16.160025,16.813437,15.371761,1.441675,,43.07422699905,40.54696038557,61.50271043853,0.909631
40.58904517078,61.54311430268,465676090993259904,0.9863,0.1783,2.566,-1.937,1.683,31,1.341,,0.986,18.808035,19.9296,17.753698,2.175901,,43.10269716934,40.58906323653,61.54310682074,1.004389
40.77947174508,61.53442445902,465676576334468352,0.9182,0.0615,2.506,-1.933,1.594,31,1.416,,1.06,16.935408,17.629023,16.09399,1.535032,,43.05730503338,40.77948977318,61.53441737558,0.947983
40.73251825508,61.59948579393,465678083858467968,0.8784,0.1463,2.842,-2.307,1.66,31,1.326,,0.99,18.46896,19.618435,17.413282,2.205153,,43.12579421835,40.73253981684,61.59947841675,0.901236
40.50137131142,61.53635629963,465678603558855808,0.9024,0.064,2.135,-1.594,1.421,31,1.399,,0.955,17.094175,17.871702,16.232151,1.639551,,43.11384413898,40.50138617282,61.53634998387,0.932911
40.5664137464,61.54967959124,465678947156218496,0.8466,0.0297,2.232,-1.406,1.733,31,1.437,,1.026,15.591956,16.221476,14.810738,1.410738,,43.11313607093,40.56642686796,61.54967188929,0.879812
40.47517801083,61.61300108653,465680218466489856,0.8636,0.1055,2.624,-2.028,1.665,31,1.323,,1.09,17.73285,18.827305,16.697699,2.129606,,43.1887589144,40.47519696571,61.61299368742,0.8965080000000001
40.49094226637,61.6789055695,465682035228745984,0.866,0.0405,2.461,-1.312,2.082,31,1.423,,0.996,16.132994,16.789839,15.288035,1.501803,,43.24560747972,40.49095455809,61.67889631701,0.894838
40.03994550599,61.40544048165,465682825501738752,1.0378,0.1227,2.675,-1.787,1.99,31,1.347,,1.014,18.184263,19.211481,17.21873,1.99275,,43.0863780149,40.03996210487,61.40543163763,1.063379
40.45314843056,61.68236634117,465693751899492736,1.0154,0.1441,2.462,-1.564,1.902,31,1.343,,1.014,18.355396,19.390835,17.35594,2.034895,,43.2562040127,40.45316308649,61.68235788964,1.039053
41.79399798628,61.43763388262,465709561682024448,0.9513,0.0417,2.25,-1.547,1.633,31,1.417,,1.01,16.269035,16.964334,15.451836,1.512499,,42.77128939459,41.79401236677,61.43762662318,0.980493
41.81730433957,61.44090070819,465709591742328576,0.9154,0.0584,2.538,-1.561,2.001,31,1.383,,0.961,16.88102,17.703257,15.995484,1.707772,,42.76977721462,41.8173188516,61.44089181391,0.946446
41.83307076094,61.54276198694,465712516619396352,0.8377,0.0966,2.599,-1.571,2.071,31,1.382,,0.998,17.555767,18.418793,16.670725,1.748068,,42.85991125068,41.83308541394,61.5427527825,0.86876
41.9286747408,61.65538315824,465713513051918976,0.8635,0.0696,2.773,-1.643,2.234,31,1.406,,1.001,17.065365,17.796772,16.234787,1.561985,,42.94453256961,41.92869012006,61.65537323133,0.893734
41.20511170534,61.70646608949,465726397953435776,0.9078,0.102,2.954,-2.115,2.062,95,,1.3627,1.099,17.486755,18.149057,16.523825,1.625233,,43.13095035729,41.20513153786,61.70645692594,0.947238
41.1392352235,61.69837998715,465726462371764608,1.0672,0.1085,2.528,-1.745,1.829,31,1.367,,1.026,17.881641,18.762203,16.972494,1.789709,,43.13638939717,41.13925158136,61.69837185997,1.095395
42.10847039219,61.9025640632,465743955780752256,0.8903,0.078,2.637,-1.516,2.157,31,1.393,,0.927,17.217442,17.988798,16.36209,1.626709,,43.13622958243,42.1084847023,61.90255447611,0.921174
41.57414556386,61.87282512218,465757596596717696,0.9361,0.1029,2.464,-1.517,1.942,31,1.376,,1.016,17.740503,18.603155,16.841906,1.761249,,43.21136423561,41.57415986713,61.87281649156,0.965441
41.50473740401,61.94785111664,465758936626486912,0.9182,0.0677,2.293,-1.51,1.726,31,1.416,,1.355,16.388372,17.063208,15.547207,1.516001,,43.29319476198,41.50475167195,61.94784344511,0.947452
