RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
226.27825190373,-54.69736454156,5887624800961510400,1.2462,-7.439,-5.809,31,1.439,,0.95,16.253038,16.883612,15.497746,1.385865,,-35.63620194251,226.27830911379,-54.69733872177,1.278161,0.5943953504064159,1,1.385866,0.007789838593453169,0.7023623585700989,0.15152998268604279,0.654662013053894,0.699999988079071,0.7023623585700989,0.7023623585700989,0.7023623585700989,0.09541228413581848
226.31023613831,-54.67721548927,5887624942748546176,1.1561,-7.421,-5.689,31,1.523,,0.965,13.916137,14.315713,13.344802,0.970911,-41.05,-35.61098838547,226.31029317963,-54.67719020683,1.196694,0.5761287442261472,1,0.970911000000001,0.0885113999247551,0.7175416350364685,0.10414303094148636,0.6194168925285339,0.699999988079071,0.6484236717224121,0.5645896792411804,0.7175416350364685,0.4502362310886383
226.24948538439,-54.67112986835,5887625080187337088,1.1929,-7.145,-5.58,31,1.524,,1.054,14.515006,14.909384,13.94647,0.962913,-39.94,-35.61714041709,226.24954029693,-54.67110506898,1.2339220000000002,0.543591585548313,1,0.9629139999999996,0.0,0.7441654801368713,0.20836354792118073,0.10884017497301102,0.0,2.9706112400162965e-05,1.8896206970980276e-18,0.11580366641283035,0.929736316204071
226.30081928769,-54.67465311857,5887625148906977664,1.2617,-7.338,-5.682,31,1.42,,1.107,16.068508,16.750689,15.265523,1.485166,,-35.610417156,226.30087569239,-54.67462786727,1.295481,0.5683577196684027,1,1.4851660000000013,0.05754448473453522,0.7239517569541931,0.17836546897888184,0.5682332515716553,0.7200000286102295,0.6179851293563843,0.43901947140693665,0.7239517569541931,0.2953818142414093
226.27553072452,-54.64993369899,5887625217626464128,1.1889,-7.597,-5.737,31,1.515,,1.029,14.665633,15.079901,14.080793,0.999107,-14.35,-35.59209794034,226.27558908233,-54.64990820171,1.2299220000000002,0.5207150064092809,1,0.9991079999999997,0.01989147812128067,0.7625066041946411,0.17041842639446259,0.6479215621948242,0.7599999904632568,0.7625066041946411,0.5755115747451782,0.7625066041946411,0.37936291098594666
226.14142853598,-54.71988599354,5887626042259986560,1.2021,-7.307,-5.698,31,1.545,,0.906,13.965085,14.311752,13.439448,0.872304,-26.1,-35.68417259222,226.14148476171,-54.71986067036,1.242998,0.5962544307656101,1,0.8723039999999997,0.0023510484024882317,0.7008093595504761,0.12972499430179596,0.564464271068573,0.699999988079071,0.5982301235198975,0.5013999342918396,0.6736231446266174,0.5639384388923645
226.15888115127,-54.70587153479,5887626076629487872,1.1123,-7.433,-5.676,95,,1.4818,0.989,15.900605,16.458614,15.196388,1.262226,,-35.66756904001,226.15893833029,-54.70584630689,1.151416,0.5759781876108866,1,1.262226,2.8648290026467294e-05,0.7176660895347595,0.1464693695306778,0.6127265095710754,0.699999988079071,0.6815212965011597,0.541667640209198,0.7176660895347595,0.39582380652427673
226.04700580043,-54.7133309822,5887626626375564800,1.2535,-7.415,-5.473,31,1.482,,0.981,15.483943,15.984088,14.824512,1.159576,,-35.69653130372,226.0470628461,-54.71330665946,1.294706,0.5788978523886936,1,1.1595759999999995,2.8551854484248906e-05,0.7152503132820129,0.1530361920595169,0.5692296624183655,0.699999988079071,0.6105573177337646,0.49178996682167053,0.6906169056892395,0.4723365306854248
226.19505047619,-54.70143461058,5887627519728744448,1.209,-7.05,-5.588,31,1.569,,0.858,13.103967,13.401055,12.637552,0.763503,-37.46,-35.65630998687,226.19510470356,-54.70140977438,1.2496550000000002,0.576151278403259,1,0.763503,0.0,0.7175229787826538,0.325609415769577,0.2412237524986267,0.0,2.8642576580750756e-05,2.8642576580750756e-05,0.7175229787826538,0.6931869983673096
226.22407461341,-54.65531298021,5887628103844333568,1.1439,-7.637,-5.522,31,1.475,,0.983,15.616783,16.136099,14.947547,1.188552,,-35.60723076413,226.22413328789,-54.65528843812,1.1851429999999998,0.5104405037067699,1,1.1885520000000014,3.0762461392441764e-05,0.7706279754638672,0.13119247555732727,0.6859077215194702,0.7599999904632568,0.7469097971916199,0.6436406373977661,0.7706279754638672,0.20454199612140656
226.22729469091,-54.62017898283,5887628344362530816,1.2155,-7.434,-5.844,31,1.581,,0.82,12.988985,13.261795,12.55434,0.707455,,-35.57353899341,226.22735175269,-54.62015300912,1.248352,0.4567122401725745,1,0.7074549999999995,3.2403244404122233e-05,0.8117311596870422,0.08513841778039932,0.7927266359329224,0.800000011920929,0.8117311596870422,0.8117311596870422,0.8117311596870422,0.04923029989004135
226.14294658173,-54.63934722842,5887628722319651840,1.155,-7.328,-5.542,31,1.461,,0.926,15.1771,15.7335,14.473324,1.260176,,-35.6081096597,226.14300286279,-54.63932259944,1.195759,0.4641873982081937,1,1.2601759999999995,1.2198081655867554e-08,0.8061624765396118,0.25106340646743774,0.48924294114112854,0.800000011920929,0.5376128554344177,0.261616051197052,0.7114037275314331,0.6204847097396851
226.08510251588,-54.61725806404,5887628962837843968,1.1698,-7.334,-5.706,31,1.5,,0.937,15.078675,15.526465,14.459818,1.066647,,-35.59868587839,226.08515880663,-54.61723270543,1.210936,0.4200626506752261,1,1.0666469999999997,2.128495361957163e-18,0.8382384777069092,0.24393343925476074,0.5768853425979614,0.8199999928474426,0.6326711773872375,0.4450831115245819,0.8382384777069092,0.554183840751648
