Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx_x,e_Plx,RPlx,PM,pmRA_x,e_pmRA,pmDE_x,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag_x,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag_x,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
NGC_5822,5887341126969408512,227.17679958793,-55.56253758709,0.9972,-6.725,-5.139,19.886251,21.595903,18.684992,0.06,Gaia DR3 5887341126969408512,227.17679958793,-55.56253758709,0.0,0.0,152.0,1636148068921376768,5887341126969408512,1423525396,0.3153,0.3676,0.9972,0.4395,2.2692,8.464,-6.725,0.415,-5.139,0.487,-0.2318,-0.0152,0.0966,-0.1554,0.0041,-0.1068,0.613,-0.0315,-0.0041,-0.132,303,0,303,0,-0.2745,315.77,0.0,0.0,95,false,,1.2274,0.0834,-0.028,0.1,-0.071,-0.081,0.021,34,17,0.730809,35,0.005222,115.7,0,0,0.988,0,306,209.14423,0.804234,260.054,19.886251,0.005002,26,31.4091,4.58582,6.84918,21.595903,0.158545,29,266.172,7.6754,34.6786,18.684992,0.031536,1.423,0,1,0,2,0,2.910912,1.709652,1.20126,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,227.17685244445,-55.56251474635,6.623072,7.576323,-0.1241,0.0
NGC_5822,5887401089016574464,226.4431529839,-55.452973062,0.789,-7.914,-4.743,19.780651,20.996351,18.663382,0.05,Gaia DR3 5887401089016574464,226.4431529839,-55.452973062,0.0,0.0,139.0,1636148068921376768,5887401089016574464,1532880298,0.2959,0.3063,0.789,0.4199,1.8787,9.226,-7.914,0.422,-4.743,0.425,-0.2176,-0.0369,-0.1774,0.0929,0.0916,0.0924,0.2803,-0.2491,0.0906,-0.1844,318,0,316,2,0.1742,354.72,0.485,0.24666,95,false,,1.1697,0.0863,0.008,-0.042,-0.116,0.001,0.052,37,20,0.645482,41,0.01151,85.72,0,0,1.006,0,348,230.50815,0.855772,269.357,19.780651,0.004883,32,54.5602,5.26841,10.3561,20.996351,0.104877,33,271.523,5.88588,46.1312,18.663382,0.023837,1.415,0,0,0,0,0,2.33297,1.2157,1.11727,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,,226.44321500763,-55.4529519814,6.815838,6.727625,-0.1936,0.0
NGC_5822,5887401119072640128,226.47141656593,-55.45754948172,0.9966,-8.36,-5.977,19.587376,21.124502,18.451788,0.06,Gaia DR3 5887401119072640128,226.47141656593,-55.45754948172,0.0,0.0,149.0,1636148068921376768,5887401119072640128,1143556155,0.2344,0.2398,0.9966,0.3447,2.8915,10.277,-8.36,0.34,-5.977,0.352,-0.0418,0.0178,-0.1423,0.0435,-0.0181,0.04,0.2708,-0.2046,0.0088,-0.0641,327,0,325,2,-0.778,318.39,0.0,0.0,95,false,,1.3024,0.0746,-0.085,0.064,-0.165,0.079,0.04,37,20,0.499837,40,0.01837,94.9,0,0,0.968,0,347,275.42049,0.941626,292.495,19.587376,0.004623,33,48.4859,4.78857,10.1254,21.124502,0.107266,35,329.946,7.85056,42.0283,18.451788,0.026108,1.374,0,1,0,0,0,2.672714,1.537127,1.135588,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,226.47148209454,-55.45752291642,5.481716,5.565346,-0.068,0.0
NGC_5822,5887341234335554560,227.23288455299,-55.54032935616,1.3791,-7.641,-4.767,19.739935,21.127209,18.651585,0.06,Gaia DR3 5887341234335554560,227.23288455299,-55.54032935616,0.0,0.0,155.0,1636148068921376768,5887341234335554560,723574495,0.2704,0.334,1.3791,0.3763,3.6647,9.006,-7.641,0.38,-4.767,0.461,-0.2452,0.0338,0.1135,-0.1378,-0.1183,-0.1125,0.5684,-0.0482,0.0607,-0.1922,303,0,303,0,-0.499,331.86,0.197,0.045083,95,false,,1.0794,0.0763,0.029,0.071,-0.107,-0.112,-0.039,35,19,0.6893,37,0.005959,20.85,0,0,0.978,0,309,239.31662,0.887851,269.546,19.739935,0.00488,20,48.3653,5.0165,9.64124,21.127209,0.112648,23,274.489,8.17637,33.571,18.651585,0.032562,1.349,0,0,0,0,0,2.475624,1.387274,1.08835,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,227.23294457033,-55.54030817081,6.05174,7.192384,-0.1869,0.0
NGC_5822,5887341577937639168,227.18261220913,-55.50725421963,0.7213,-7.454,-4.634,20.132849,21.348276,18.943375,0.06,Gaia DR3 5887341577937639168,227.18261220913,-55.50725421963,0.001,0.0,163.0,1636148068921376768,5887341577937639168,1667862765,0.4333,0.5169,0.7213,0.6372,1.1319,8.777,-7.454,0.596,-4.634,0.791,-0.1162,0.2186,-0.0147,0.0085,-0.1978,0.0284,0.6845,-0.1276,-0.1907,-0.1057,235,0,234,1,2.1461,292.6,0.888,0.47823,95,false,,1.3404,0.1133,-0.018,0.051,-0.061,-0.041,0.038,27,14,1.163918,28,0.02212,106.4,0,3,1.101,0,239,166.65069,0.869085,191.754,20.132849,0.006297,18,39.4554,5.513,7.15679,21.348276,0.151733,21,209.801,9.83951,21.3223,18.943375,0.05106,1.496,0,8,0,12,0,2.404902,1.215427,1.189474,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,227.18267070687,-55.50723362314,9.55253,12.311123,-0.1103,0.0
NGC_5822,5887341646652334976,227.30810723265,-55.56077124194,1.1795,-6.596,-5.838,19.982399,21.286554,18.80259,0.05,Gaia DR3 5887341646652334976,227.30810723265,-55.56077124194,0.0,0.0,141.0,1636148068921376768,5887341646652334976,1336015994,0.399,0.4337,1.1795,0.5279,2.2343,8.808,-6.596,0.504,-5.838,0.571,-0.3662,-0.0263,0.0296,-0.261,-0.048,-0.2091,0.5077,-0.1311,0.1369,-0.3017,264,0,264,0,0.8056,308.87,1.053,0.80519,95,false,,1.1654,0.1049,0.039,0.048,-0.111,-0.072,-0.034,31,20,0.895902,33,0.03437,16.03,0,0,1.034,0,281,191.42003,0.887276,215.739,19.982399,0.005738,28,41.7634,3.58959,11.6346,21.286554,0.093362,30,238.848,5.70404,41.8735,18.80259,0.026203,1.466,0,0,0,0,0,2.483965,1.304155,1.17981,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999988,,,,,,,,,,,,,,,,,,,,,,,227.30815907193,-55.56074529738,8.057587,8.917435,-0.2865,0.0
NGC_5822,5887401501361017088,226.44991696399,-55.40268723941,1.142,-8.084,-5.73,17.121616,18.09217,16.135406,0.51,Gaia DR3 5887401501361017088,226.44991696399,-55.40268723941,0.0,0.0,144.0,1636148068921376768,5887401501361017088,172239261,0.0475,0.0515,1.142,0.0711,16.0716,9.909,-8.084,0.066,-5.73,0.074,-0.2523,0.0158,-0.0937,-0.1206,-0.0203,-0.1203,0.329,-0.1219,-0.011,-0.2629,401,0,400,1,-0.5276,398.02,0.0,0.0,31,false,1.344,,,,,,,,46,21,0.111695,49,0.004758,7.848,0,0,0.98,0,423,2668.70458,2.08088,1282.49,17.121616,0.002882,46,791.678,5.58263,141.811,18.09217,0.008149,42,2786.09,6.19151,449.986,16.135406,0.004484,1.341,1,1,0,3,0,1.956764,0.970554,0.98621,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99968,4174.9,4153.4,4198.4,4.5309,4.5029,4.5532,0.2544,0.1846,0.3282,742.8434,727.4774,762.8115,1.0113,0.9828,1.0402,0.7217,0.701,0.7432,0.3931,0.3821,0.4042,MARCS,226.44998024329,-55.40266177383,1.062274,1.17275,-0.2548,0.0
NGC_5822,5887343295924000640,227.30175631635,-55.4659151186,0.8041,-7.928,-5.502,20.009119,21.287186,18.915665,0.06,Gaia DR3 5887343295924000640,227.30175631635,-55.4659151186,0.0,0.0,158.0,1636148068921376768,5887343295924000640,640149593,0.3528,0.4175,0.8041,0.4835,1.6629,9.65,-7.928,0.488,-5.502,0.642,-0.1604,0.1756,0.0828,-0.1318,-0.0643,-0.1383,0.5989,0.0377,-0.0197,-0.1595,265,0,262,3,-0.507,256.08,0.0,0.0,95,false,,1.3949,0.093,0.031,0.085,-0.024,-0.097,0.02,31,16,0.942235,32,0.01233,53.05,0,0,0.976,0,268,186.76656,0.928819,201.08,20.009119,0.006062,24,41.7391,4.83312,8.63605,21.287186,0.125752,28,215.225,11.2888,19.0654,18.915665,0.057073,1.376,0,0,0,2,0,2.371521,1.278067,1.093454,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,227.30181846822,-55.46589066448,7.794261,10.031944,-0.1522,0.0
NGC_5822,5887341715371822976,227.3035362542,-55.55618029169,0.8244,-7.599,-4.813,19.914118,21.398859,18.804712,0.06,Gaia DR3 5887341715371822976,227.3035362542,-55.55618029169,0.0,0.0,141.0,1636148068921376768,5887341715371822976,690941993,0.3726,0.4028,0.8244,0.4655,1.7711,8.995,-7.599,0.485,-4.813,0.537,-0.3377,-0.0303,-0.011,-0.2704,5.0E-4,-0.2043,0.5333,-0.0744,0.1016,-0.231,270,0,267,3,0.7984,296.75,1.014,0.89789,95,false,,1.2814,0.1016,0.025,0.012,-0.167,-0.033,-0.057,31,21,0.830432,33,0.03472,30.58,0,0,1.034,0,283,203.8447,0.889392,229.195,19.914118,0.00548,21,37.6594,5.70278,6.6037,21.398859,0.164437,28,238.382,5.41526,44.0203,18.804712,0.024952,1.354,0,0,0,0,1,2.594147,1.484741,1.109406,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,227.30359596725,-55.55615890184,7.766796,8.383528,-0.214,0.0
NGC_5822,5887342196449286272,227.38135538831,-55.50976977174,0.9653,-7.669,-5.255,16.792881,17.531786,15.951179,0.25,Gaia DR3 5887342196449286272,227.38135538831,-55.50976977174,0.0,0.0,138.0,1636148068921376768,5887342196449286272,647017818,0.0428,0.0437,0.9653,0.0576,16.7728,9.297,-7.669,0.059,-5.255,0.06,-0.2224,-0.1417,-0.0067,-0.1412,-0.0605,-0.103,0.2666,-0.0018,0.1473,-0.1591,347,0,346,1,-0.2581,348.75,0.0,0.0,31,false,1.402,,,,,,,,40,21,0.08916,43,0.01962,7.422,0,0,0.989,0,370,3612.38831,2.32028,1556.88,16.792881,0.002842,39,1326.49,7.31527,181.331,17.531786,0.006606,38,3301.32,9.48005,348.238,15.951179,0.004899,1.281,0,1,0,0,0,1.580607,0.738905,0.841702,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999966,4715.4,4678.5,4742.3,4.63,4.6191,4.6409,-0.3044,-0.3534,-0.2592,765.5656,747.3432,781.7839,0.9304,0.8972,0.9562,0.7055,0.6797,0.7257,0.3754,0.3616,0.3863,PHOENIX,227.38141557734,-55.5097464142,0.941718,0.941295,-0.1499,0.0
NGC_5822,5887402016730003072,226.49072940338,-55.37203377859,1.1821,-7.032,-4.951,20.157148,21.322151,18.938505,0.09,Gaia DR3 5887402016730003072,226.49072940338,-55.37203377859,0.0,0.0,152.0,1636148068921376768,5887402016730003072,1779339498,0.4349,0.4624,1.1821,0.6569,1.7995,8.6,-7.032,0.625,-4.951,0.643,-0.094,0.0115,0.0593,0.0948,0.1736,0.0863,0.3586,-0.1203,0.0997,-0.0644,279,0,279,0,1.1553,332.68,1.262,0.85257,95,false,,1.1982,0.1264,-0.035,-0.002,-0.085,-0.021,0.012,32,17,0.921785,36,0.02458,27.53,0,0,1.049,0,278,162.96248,0.945163,172.417,20.157148,0.006874,28,40.4163,4.71817,8.56609,21.322151,0.126779,33,210.744,6.89257,30.5756,18.938505,0.03571,1.541,0,20,0,21,0,2.383646,1.165003,1.218643,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,226.49078440481,-55.37201177242,9.986252,10.134812,-0.0738,0.0
