Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx_x,e_Plx,RPlx,PM,pmRA_x,e_pmRA,pmDE_x,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag_x,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag_x,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
NGC_5822,5881692149823656320,224.73123909494,-54.56627142519,1.1099,-7.637,-5.249,14.223904,14.590719,13.684692,1.0,Gaia DR3 5881692149823656320,224.73123909494,-54.56627142519,0.0,0.0,132.0,1636148068921376768,5881692149823656320,1168509584,0.0142,0.0138,1.1099,0.0201,55.2585,9.267,-7.637,0.021,-5.249,0.021,-0.2686,0.2616,-0.2713,0.0066,-0.1347,-0.055,0.2527,-0.2472,0.1276,-0.4312,372,0,372,0,-0.7042,376.67,0.0,0.0,95,false,,1.5396,0.0036,0.06,0.103,0.003,0.124,-0.073,42,19,0.035161,47,0.02396,96.62,0,0,0.973,0,387,38493.30939,9.86075,3903.69,14.223904,0.002769,45,19912.7,19.4089,1025.95,14.590719,0.002984,43,26624.5,15.0056,1774.3,13.684692,0.003829,1.209,0,26,0,25,0,0.906027,0.366816,0.539211,-29.26,5.71,2,17,4,12,5.0932,,,802.805,,5500.0,4.5,0.0,0,,,,13.361504,0.103933,13,,NOT_AVAILABLE,0.0,0.0,0.999981,,,,,,,,,,,,,,,,,,,,,,,224.73129764083,-54.56624809604,0.341326,0.333229,-0.4286,0.0
NGC_5822,5881693146252823040,225.02919807407,-54.64227961967,1.2323,-7.615,-5.588,13.173482,13.473589,12.706505,1.0,Gaia DR3 5881693146252823040,225.02919807407,-54.64227961967,0.0,0.0,137.0,1636148068921376768,5881693146252823040,1397359040,0.0099,0.0101,1.2323,0.0144,85.4999,9.445,-7.615,0.013,-5.588,0.015,-0.2582,0.0849,-0.3429,0.0992,-0.0493,0.0943,0.0554,-0.2453,0.24,-0.2888,359,0,357,2,-3.6866,274.47,0.0,0.0,31,false,1.568,,,,,,,,42,20,0.022486,45,0.01669,65.77,0,0,0.863,0,373,101287.05829,24.1161,4199.97,13.173482,0.002767,41,55716.2,24.4173,2281.83,13.473589,0.00283,43,65547.5,36.6379,1789.07,12.706505,0.003828,1.197,0,1,0,0,0,0.767084,0.300107,0.466977,-34.05,6.29,2,12,5,10,8.9214,,,752.228,,6000.0,1.5,-0.5,111,,,,12.523617,0.036542,7,,NOT_AVAILABLE,0.0,0.0,0.999974,6871.9,6860.1,6883.5,4.2084,4.1998,4.2166,-0.4556,-0.4625,-0.449,786.2527,778.7087,794.4257,0.6246,0.6186,0.6302,0.5425,0.5372,0.5475,0.2934,0.2906,0.2962,A,225.02925655848,-54.64225478244,0.219421,0.231904,-0.2935,0.0
NGC_5822,5881693008813852032,225.0930203756,-54.6394856888,1.177,-7.513,-5.336,17.276005,18.127857,16.374056,1.0,Gaia DR3 5881693008813852032,225.0930203756,-54.6394856888,0.0,0.0,141.0,1636148068921376768,5881693008813852032,1027526823,0.0544,0.0569,1.177,0.0841,14.0009,9.215,-7.513,0.075,-5.336,0.077,-0.1888,0.0415,-0.1486,-0.001,-0.1391,0.0474,0.1692,-0.2219,0.2385,-0.1521,337,0,336,1,-0.0364,344.87,0.0,0.0,31,false,1.371,,,,,,,,40,20,0.114833,44,0.01461,42.13,0,0,0.998,0,367,2314.96838,1.76559,1311.16,17.276005,0.002877,41,766.08,5.12253,149.551,18.127857,0.007778,40,2236.33,9.91453,225.561,16.374056,0.00612,1.297,0,17,0,17,0,1.753801,0.851852,0.901949,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999928,4428.3,4413.8,4444.4,4.5631,4.551,4.5795,0.0929,0.0282,0.1545,929.5508,917.1849,945.2966,0.8732,0.8447,0.904,0.6403,0.619,0.6635,0.3402,0.3291,0.3522,PHOENIX,225.09307807002,-54.63946197396,1.215334,1.216434,-0.1546,0.0
NGC_5822,5881621849790430720,225.25686129716,-54.94467345764,1.2361,-7.625,-4.914,10.945331,11.127864,10.621691,1.0,Gaia DR3 5881621849790430720,225.25686129716,-54.94467345764,0.0,0.0,139.0,1636148068921376768,5881621849790430720,249562576,0.0101,0.0104,1.2361,0.0151,81.9728,9.071,-7.625,0.014,-4.914,0.015,-0.2031,0.1481,-0.1356,0.0397,-0.0325,-0.0123,0.1669,-0.1353,0.2677,-0.2803,400,400,395,5,-4.6374,814.89,0.085,8.7113,31,false,1.626,,,,,,,,45,19,0.023216,50,0.01743,98.46,0,0,0.838,0,408,788523.55802,148.654,5304.41,10.945331,0.002763,46,483361.0,204.063,2368.68,11.127864,0.002828,47,447179.0,137.15,3260.52,10.621691,0.003794,1.18,0,0,0,0,0,0.506173,0.182533,0.32364,-30.29,3.13,1,12,2,9,48.488,-0.83068,0.751692,723.59,28.03,7500.0,4.0,0.25,555,175.6774,16.2746,9,10.480701,0.006991,9,,NOT_AVAILABLE,0.0,0.0,0.999947,,,,,,,,,,,,,,,,,,,,,,,225.25692029908,-54.94465161595,0.230675,0.238101,-0.2818,0.0
NGC_5822,5881581129144018944,224.93985582108,-55.47026452977,1.1691,-7.361,-6.179,17.63388,18.448076,16.705523,0.17,Gaia DR3 5881581129144018944,224.93985582108,-55.47026452977,0.0,0.0,148.0,1636148068921376768,5881581129144018944,391826131,0.0685,0.0807,1.1691,0.109,10.7277,9.611,-7.361,0.09,-6.179,0.116,-0.3269,-0.0512,-0.0729,-0.1071,-0.0783,-0.1233,0.368,0.0819,-0.2178,-0.3383,337,0,336,1,1.2528,380.51,0.089,0.13597,31,false,1.382,,,,,,,,38,18,0.174573,41,0.01312,117.1,0,0,1.048,0,352,1664.92416,1.8268,911.39,17.63388,0.003002,36,570.409,6.8623,83.122,18.448076,0.013357,36,1647.97,9.6768,170.301,16.705523,0.007411,1.332,0,36,0,36,0,1.742554,0.814196,0.928358,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99999,4144.1,4084.3,4209.9,4.8154,4.7694,4.8466,-0.9243,-1.0231,-0.7469,624.8591,582.2113,685.9147,0.6528,0.5605,0.747,0.4767,0.4082,0.547,0.2559,0.2192,0.2934,PHOENIX,224.9399135387,-55.4702370659,1.450671,1.829419,-0.3321,0.0
NGC_5822,5881580996006755712,224.90764632563,-55.49615994927,1.2179,-7.35,-5.396,19.855055,20.65315,18.516323,0.05,Gaia DR3 5881580996006755712,224.90764632563,-55.49615994927,0.001,0.0,159.0,1636148068921376768,5881580996006755712,1474945668,0.4011,0.5336,1.2179,0.7215,1.6881,9.118,-7.35,0.548,-5.396,0.862,-0.2619,0.2244,-0.1369,-0.1505,-0.4042,-0.0838,0.6581,-0.0132,-0.5165,-0.216,274,0,273,1,3.2187,392.47,2.163,3.29,95,false,,1.1645,0.1127,0.017,0.188,-0.147,-0.094,0.205,31,16,1.293542,33,0.01279,40.72,8,0,1.141,0,270,215.24091,1.05631,203.766,19.855055,0.005999,15,74.844,8.13082,9.20497,20.65315,0.117984,15,310.906,14.4099,21.5758,18.516323,0.050464,1.792,0,0,0,0,0,2.136827,0.798096,1.338732,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999988,,,,,,,,,,,,,,,,,,,,,,,224.90770399205,-55.49613596619,8.830935,13.441486,-0.2101,0.0
NGC_5822,5881580686832040576,224.8688911692,-55.50551267995,1.1767,-7.114,-5.974,18.934217,19.530582,17.676058,0.05,Gaia DR3 5881580686832040576,224.8688911692,-55.50551267995,0.0,0.0,158.0,1636148068921376768,5881580686832040576,1762940218,0.3303,0.454,1.1767,0.5987,1.9655,9.29,-7.114,0.455,-5.974,0.644,-0.3057,0.1701,-0.099,-0.1312,-0.395,-0.1244,0.5135,-0.0139,-0.3136,-0.3249,320,0,319,1,22.3251,1390.8,3.461,40.566,95,false,,1.2594,0.0872,0.065,0.212,-0.242,-0.048,0.223,36,18,0.972405,40,0.1182,143.4,56,0,2.013,0,324,502.643,3.6803,136.577,18.934217,0.008414,34,210.467,6.40218,32.8743,19.530582,0.033145,36,674.117,6.4423,104.639,17.676058,0.011043,1.76,0,0,0,0,0,1.854525,0.596365,1.25816,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,4218.9,3802.0,4397.9,4.9227,4.8073,5.0085,-1.5609,-1.7387,-0.4332,754.4277,566.3683,865.187,1.1598,0.3391,1.4062,0.8412,0.239,1.0312,0.4566,0.1325,0.5617,PHOENIX,224.86894699897,-55.50548612697,7.312323,10.077572,-0.3193,0.0
NGC_5822,5881580686766375040,224.87563409023,-55.49767480101,0.8967,-7.807,-4.586,19.127192,20.343473,18.073154,0.06,Gaia DR3 5881580686766375040,224.87563409023,-55.49767480101,0.0,0.0,160.0,1636148068921376768,5881580686766375040,295524677,0.1922,0.2566,0.8967,0.3448,2.6004,9.054,-7.807,0.263,-4.586,0.402,-0.2524,0.2254,-0.1001,-0.1313,-0.394,-0.0456,0.6482,-0.0163,-0.4821,-0.1836,310,0,310,0,0.5987,338.31,0.0,0.0,95,false,,1.355,0.0536,-0.026,0.19,-0.227,-0.047,0.224,35,18,0.601809,39,0.02421,62.0,0,0,1.023,0,336,420.79476,1.00829,417.335,19.127192,0.003789,29,99.5469,4.47025,22.2687,20.343473,0.048836,27,467.624,5.89515,79.3235,18.073154,0.0142,1.348,0,0,0,0,0,2.270319,1.216282,1.054037,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,224.87569534563,-55.49765441701,4.224801,6.264966,-0.1799,0.0
NGC_5822,5881692351624567680,225.00778680153,-54.69749108652,0.8578,-7.019,-5.641,19.155716,19.88513,18.1932,0.1,Gaia DR3 5881692351624567680,225.00778680153,-54.69749108652,0.0,0.0,143.0,1636148068921376768,5881692351624567680,67797877,0.1753,0.1795,0.8578,0.2643,3.2454,9.005,-7.019,0.259,-5.641,0.267,-0.0855,0.1537,-0.1378,0.1392,-0.0066,0.1166,0.1934,-0.3045,0.2181,-0.1486,296,0,295,1,-1.1191,272.07,0.0,0.0,95,false,,1.4696,0.0506,0.056,-0.002,0.028,0.057,-0.15,34,18,0.398594,38,0.01765,53.16,0,0,0.953,0,321,409.88336,1.0756,381.074,19.155716,0.003964,34,151.833,5.73268,26.4855,19.88513,0.041088,33,418.677,7.29986,57.354,18.1932,0.019304,1.392,0,0,0,0,0,1.691931,0.729414,0.962517,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,225.00784078339,-54.69746601387,4.171098,4.247578,-0.1597,0.0
NGC_5822,5881663734314222848,224.529052452,-54.90702280555,1.2427,-8.045,-5.691,15.783429,16.332071,15.084052,0.94,Gaia DR3 5881663734314222848,224.529052452,-54.90702280555,0.0,0.0,150.0,1636148068921376768,5881663734314222848,1195593376,0.025,0.0306,1.2427,0.0374,33.1846,9.855,-8.045,0.035,-5.691,0.043,-0.3397,-0.0626,-0.0623,-0.0683,-0.0804,-0.0696,0.3493,-0.0309,0.0171,-0.3576,342,0,340,2,-0.4283,337.0,0.0,0.0,31,false,1.463,,,,,,,,41,21,0.064925,45,0.009602,97.1,0,0,0.983,0,368,9153.24497,3.83855,2384.56,15.783429,0.002793,43,4004.87,13.7875,290.471,16.332071,0.004664,38,7337.32,12.9937,564.684,15.084052,0.00424,1.239,0,0,0,1,0,1.248019,0.548642,0.699377,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999978,5006.4,4982.9,5032.7,4.5185,4.4213,4.5412,-0.1605,-0.1887,-0.1342,828.0776,798.8392,990.2051,0.4792,0.46,0.5015,0.3785,0.363,0.3965,0.2014,0.1932,0.211,MARCS,224.52911464955,-54.90699751345,0.564024,0.67488,-0.3561,0.0
NGC_5822,5881663734314222592,224.51761011408,-54.90950586468,1.2572,-7.735,-5.469,17.059288,17.767277,16.13299,0.99,Gaia DR3 5881663734314222592,224.51761011408,-54.90950586468,0.0,0.0,153.0,1636148068921376768,5881663734314222592,1740237320,0.0462,0.0579,1.2572,0.0706,17.8093,9.473,-7.735,0.066,-5.469,0.081,-0.3116,-0.0583,0.036,-0.115,-0.0676,-0.1157,0.4373,0.0809,-0.0871,-0.2997,360,0,360,0,-0.1035,367.7,0.0,0.0,31,false,1.399,,,,,,,,42,21,0.122095,45,0.00122,90.74,0,0,0.995,0,379,2826.38493,2.47781,1140.68,17.059288,0.002915,19,1067.84,10.8485,98.4322,17.767277,0.011378,20,2792.3,10.9774,254.369,16.13299,0.005701,1.366,0,19,0,20,0,1.634287,0.707989,0.926298,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999977,4396.9,4368.8,4423.4,4.7006,4.6867,4.716,-0.3724,-0.4684,-0.2674,674.9288,652.984,700.5217,0.7551,0.7113,0.797,0.561,0.5277,0.5924,0.2985,0.2816,0.3156,MARCS,224.51766991542,-54.90948155682,1.049009,1.274004,-0.2958,0.0
NGC_5822,5881663631210331264,224.41530046503,-54.83973649682,0.894,-6.82,-6.138,19.813597,20.060743,18.584692,0.06,Gaia DR3 5881663631210331264,224.41530046503,-54.83973649682,0.0,0.0,143.0,1636148068921376768,5881663631210331264,94796830,0.3135,0.3394,0.894,0.4601,1.9431,9.175,-6.82,0.433,-6.138,0.492,-0.2971,0.0636,0.1004,-0.0736,-0.0625,-0.0581,0.5059,-0.0443,-0.2386,-0.2642,289,0,287,2,1.0942,319.91,0.523,0.3137,95,false,,1.4694,0.0814,-0.002,0.107,0.016,-0.075,0.146,34,17,0.748573,36,0.09248,20.69,0,0,1.045,0,293,223.61871,1.20262,185.942,19.813597,0.006457,22,129.157,7.2028,17.9316,20.060743,0.060613,22,291.932,9.29284,31.4147,18.584692,0.034767,1.883,0,1,0,2,0,1.476051,0.247147,1.228905,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999991,,,,,,,,,,,,,,,,,,,,,,,224.41535309893,-54.83970921794,6.901176,7.698208,-0.2654,0.0
NGC_5822,5881580892926715264,224.98754231003,-55.49014265495,1.0852,-7.564,-5.369,20.03507,20.845106,18.859558,0.05,Gaia DR3 5881580892926715264,224.98754231003,-55.49014265495,0.001,0.0,159.0,1636148068921376768,5881580892926715264,39653674,0.3673,0.4984,1.0852,0.6765,1.6041,9.276,-7.564,0.52,-5.369,0.853,-0.2718,0.3148,0.1868,-0.2044,-0.4405,-0.1258,0.7176,0.1348,-0.5598,-0.2382,276,0,274,2,-0.7022,264.81,0.0,0.0,95,false,,1.3357,0.111,0.024,0.159,-0.157,-0.1,0.231,32,15,1.287291,34,0.02266,149.3,0,0,0.969,0,289,182.35547,0.939685,194.06,20.03507,0.006237,26,62.7154,5.56507,11.2695,20.845106,0.096384,30,226.639,7.9866,28.3774,18.859558,0.038447,1.587,0,18,0,21,0,1.985548,0.810036,1.175512,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,224.98760165095,-55.4901187922,8.255844,13.296242,-0.2327,0.0
NGC_5822,5881581477040489984,224.83650319656,-55.48355121003,1.0152,-8.167,-5.247,19.223436,20.481174,18.048805,0.11,Gaia DR3 5881581477040489984,224.83650319656,-55.48355121003,0.0,0.0,157.0,1636148068921376768,5881581477040489984,70581706,0.2408,0.2894,1.0152,0.4128,2.4595,9.707,-8.167,0.315,-5.247,0.454,-0.1951,0.2656,-0.2761,-0.1095,-0.3783,-0.0192,0.6213,-0.0747,-0.4884,-0.1416,280,0,277,3,1.3039,321.38,0.357,0.22869,95,false,,1.3453,0.0614,-0.049,0.224,-0.258,-0.022,0.254,32,18,0.678751,36,0.0406,74.73,0,0,1.055,0,296,385.09906,1.20494,319.601,19.223436,0.004374,18,87.6894,7.07611,12.3923,20.481174,0.087658,19,478.229,9.4414,50.6524,18.048805,0.021766,1.47,0,14,0,14,0,2.432369,1.257738,1.174631,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999978,,,,,,,,,,,,,,,,,,,,,,,224.83656725543,-55.48352788922,5.103917,7.094321,-0.1373,0.0
NGC_5822,5881622532624231936,225.54860932793,-55.04357006619,1.174,-7.527,-5.648,12.961983,13.230419,12.532622,1.0,Gaia DR3 5881622532624231936,225.54860932793,-55.04357006619,0.0,0.0,135.0,1636148068921376768,5881622532624231936,1657696432,0.0118,0.0119,1.174,0.0167,70.4058,9.41,-7.527,0.016,-5.648,0.017,-0.2095,0.1359,-0.3134,0.0915,-0.025,0.0716,0.1108,-0.2263,0.2287,-0.2354,335,146,334,1,-1.9682,537.46,0.077,5.2656,31,false,1.585,,,,,,,,39,20,0.026204,43,0.0224,77.36,0,0,0.923,0,353,123070.41442,30.9713,3973.69,12.961983,0.002769,41,69702.6,34.6675,2010.6,13.230419,0.002842,43,76932.4,26.7012,2881.24,12.532622,0.003798,1.191,0,1,0,0,0,0.697797,0.268436,0.42936,-30.59,4.39,2,15,9,12,13.661,,,931.117,,6500.0,2.5,-0.25,111,,,,12.378036,0.234744,6,,NOT_AVAILABLE,0.0,0.0,0.999973,6952.8,6933.9,6972.3,4.1193,4.0886,4.1382,-0.6224,-0.6339,-0.6111,871.5042,848.8992,909.7308,0.5176,0.5097,0.5259,0.4534,0.4462,0.4608,0.2453,0.2415,0.2493,A,225.54866771409,-55.04354496365,0.266175,0.271783,-0.2404,0.0
NGC_5822,5881693627291819776,224.96113684183,-54.63196914995,1.213,-7.74,-5.431,12.209894,12.454903,11.826983,1.0,Gaia DR3 5881693627291819776,224.96113684183,-54.63196914995,0.0,0.0,143.0,1636148068921376768,5881693627291819776,1424969692,0.0127,0.0139,1.213,0.019,64.0013,9.456,-7.74,0.017,-5.431,0.02,-0.3328,0.0034,-0.335,0.1481,-0.0055,0.1565,-0.0477,-0.1816,0.1498,-0.3849,340,340,337,3,-0.5343,827.77,0.113,14.831,95,false,,1.5968,0.0031,0.053,0.083,-0.091,0.207,-0.097,39,20,0.031027,42,0.008567,48.76,0,0,0.978,0,348,246030.52578,50.5391,4868.13,12.209894,0.002764,39,142382.0,69.0388,2062.35,12.454903,0.002839,40,147355.0,55.3723,2661.17,11.826983,0.003801,1.178,0,0,0,1,0,0.627919,0.245008,0.382911,-24.52,1.39,1,13,4,12,18.545,0.029065,0.40013,802.879,15.47,7250.0,4.0,0.25,555,,,,11.686396,0.02528,9,,NOT_AVAILABLE,0.0,0.0,0.999896,,,,,,,,,,,,,,,,,,,,,,,224.96119627433,-54.63194501039,0.282471,0.320079,-0.3916,0.0
NGC_5822,5881665143038839040,224.45038332006,-54.82342544042,0.9761,-7.633,-4.764,20.227032,20.95504,18.934423,0.06,Gaia DR3 5881665143038839040,224.45038332006,-54.82342544042,0.001,0.0,168.0,1636148068921376768,5881665143038839040,494650112,0.42,0.5292,0.9761,0.6992,1.396,8.998,-7.633,0.569,-4.764,0.738,-0.105,-0.0292,0.0383,0.0664,-0.0893,0.0845,0.5568,0.1058,-0.2549,-0.0691,272,0,271,1,-0.0408,279.42,0.0,0.0,95,false,,1.4497,0.1158,0.027,0.111,0.025,0.068,0.119,32,17,1.080882,34,0.004476,65.26,0,0,0.997,0,288,152.80377,1.01278,150.875,20.227032,0.007706,29,56.6762,4.964,11.4174,20.95504,0.095135,31,211.538,7.46426,28.3401,18.934423,0.038497,1.755,0,10,0,12,0,2.020617,0.728008,1.292608,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,224.45044220696,-54.82340426799,9.103442,11.529278,-0.0781,0.0
NGC_5822,5881665177423317248,224.41800365652,-54.8153350921,0.8123,-7.938,-4.346,19.664291,20.523573,18.495916,0.05,Gaia DR3 5881665177423317248,224.41800365652,-54.8153350921,0.001,0.0,156.0,1636148068921376768,5881665177423317248,808294623,0.3911,0.5353,0.8123,0.647,1.2554,9.05,-7.938,0.524,-4.346,0.837,-0.3429,0.0349,0.0036,-0.1454,-0.1227,-0.1195,0.576,0.0054,-0.3875,-0.2683,279,0,278,1,7.4045,568.67,3.109,12.004,95,false,,1.0878,0.1015,0.007,0.145,-0.095,-0.009,0.24,32,17,1.239661,35,0.04518,92.16,4,0,1.332,0,293,256.58429,1.13534,225.997,19.664291,0.005538,31,84.331,5.21772,16.1624,20.523573,0.067235,30,316.805,5.32063,59.5428,18.495916,0.018622,1.563,0,0,0,0,0,2.027657,0.859282,1.168375,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,224.4180648818,-54.81531577614,8.398715,13.094352,-0.2631,0.0
NGC_5822,5881665211759932032,224.43201685909,-54.81706622512,1.556,-7.372,-4.619,20.347996,20.496885,19.127377,0.07,Gaia DR3 5881665211759932032,224.43201685909,-54.81706622512,0.001,0.0,158.0,1636148068921376768,5881665211759932032,484189116,0.4926,0.6875,1.556,0.8503,1.8298,8.699,-7.372,0.665,-4.619,1.061,-0.3299,0.0641,-0.0085,-0.1676,-0.3522,-0.1955,0.7225,0.0264,-0.4862,-0.355,254,0,253,1,-0.9961,252.54,0.749,0.27778,95,false,,1.1885,0.1267,-0.119,0.128,-0.024,0.091,0.105,29,15,1.629628,33,0.03391,133.6,0,15,0.954,0,270,136.69371,0.780871,175.053,20.347996,0.006787,11,86.4297,24.0366,3.59575,20.496885,0.301963,11,177.095,16.1788,10.9462,19.127377,0.099261,1.928,0,8,0,8,0,1.369509,0.14889,1.220619,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,224.43207372063,-54.81704569569,10.649546,16.485509,-0.3495,0.0
NGC_5822,5881622708745269504,225.5548207387,-55.02058341411,1.5262,-7.986,-5.068,19.816015,21.200903,18.605139,0.12,Gaia DR3 5881622708745269504,225.5548207387,-55.02058341411,0.0,0.0,80.0,1636148068921376768,5881622708745269504,463066304,0.3395,0.2925,1.5262,0.434,3.5163,9.459,-7.986,0.496,-5.068,0.43,0.0554,0.1778,-0.3679,0.0917,0.0327,0.0791,0.2216,-0.2918,0.292,0.0559,293,0,292,1,1.5097,352.14,1.241,1.5717,95,false,,1.2283,0.0883,-0.121,0.014,-0.077,0.111,-0.104,34,18,0.707721,36,0.03676,96.11,0,0,1.063,0,305,223.12109,0.906689,246.083,19.816015,0.005202,15,45.1914,6.49507,6.9578,21.200903,0.156071,21,286.486,7.16637,39.9764,18.605139,0.027421,1.487,0,0,0,0,0,2.595764,1.384888,1.210876,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,,225.5548826534,-55.0205608906,8.067846,6.816869,0.0483,0.0
NGC_5822,5881623425985466368,225.39360699943,-55.00179902177,0.9562,-6.776,-5.514,18.246162,19.340206,17.255795,0.15,Gaia DR3 5881623425985466368,225.39360699943,-55.00179902177,0.0,0.0,134.0,1636148068921376768,5881623425985466368,185156728,0.094,0.0938,0.9562,0.142,6.7319,8.736,-6.776,0.137,-5.514,0.14,-0.1006,-0.0206,-0.0981,0.0686,-0.0345,0.0697,0.1635,-0.3055,0.2245,-0.1932,364,0,363,1,-1.4461,334.29,0.0,0.0,31,false,1.331,,,,,,,,41,19,0.213081,45,0.007467,10.52,0,0,0.946,0,393,947.28809,1.25727,753.449,18.246162,0.003109,39,250.804,7.75157,32.3552,19.340206,0.033673,39,992.752,8.97637,110.596,17.255795,0.010519,1.313,0,1,0,0,0,2.084412,1.094044,0.990368,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999994,3691.6,3680.2,3703.8,4.4231,4.4063,4.4488,-1.3524,-1.3865,-1.3044,614.4995,595.3314,637.4649,0.7273,0.7038,0.7572,0.5074,0.4911,0.5288,0.2754,0.2665,0.2867,PHOENIX,225.39365950356,-55.00177451546,2.201026,2.230622,-0.1994,0.0
NGC_5822,5881694658068501632,225.15301186551,-54.59654720153,0.7769,-6.83,-6.041,20.060226,20.455976,18.82147,0.09,Gaia DR3 5881694658068501632,225.15301186551,-54.59654720153,0.0,0.0,83.0,1636148068921376768,5881694658068501632,549435790,0.4046,0.3494,0.7769,0.5375,1.4453,9.119,-6.83,0.605,-6.041,0.479,0.0376,0.0559,-8.0E-4,0.2163,0.0032,0.2146,0.3198,-0.3516,0.1683,0.041,270,0,269,1,1.6185,315.78,0.813,0.48184,95,false,,1.4438,0.0997,0.021,-0.041,0.025,0.095,0.008,33,17,0.853575,35,0.01433,50.1,0,0,1.07,0,277,178.1789,0.847428,210.258,20.060226,0.005853,18,89.7483,13.0091,6.89888,20.455976,0.157403,19,234.731,14.5391,16.1448,18.82147,0.067356,1.821,0,0,0,0,0,1.634506,0.39575,1.238756,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999994,,,,,,,,,,,,,,,,,,,,,,,225.15306426252,-54.59652035042,9.688154,7.552804,0.0225,0.0
NGC_5822,5881582713990170240,224.60199903493,-55.5405069669,1.1955,-8.306,-5.238,19.202396,20.220152,18.08948,0.05,Gaia DR3 5881582713990170240,224.60199903493,-55.5405069669,0.0,0.0,163.0,1636148068921376768,5881582713990170240,1808827846,0.2645,0.3861,1.1955,0.3967,3.0137,9.82,-8.306,0.349,-5.238,0.571,-0.2569,0.0691,-0.0856,-0.2541,-0.0326,-0.2139,0.6527,-0.0968,-0.1271,-0.217,299,0,298,1,1.9252,410.84,1.609,4.3556,95,false,,1.1072,0.0716,0.184,0.088,-0.18,-0.022,0.035,34,20,0.847973,38,0.03208,127.1,0,2,1.08,0,330,392.6343,1.53364,256.015,19.202396,0.005057,4,111.521,27.1812,4.10287,20.220152,0.264643,2,460.645,45.3504,10.1575,18.08948,0.106957,1.457,0,4,0,2,0,2.130672,1.017756,1.112917,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999915,,,,,,,,,,,,,,,,,,,,,,,224.60206427466,-55.54048368509,5.609006,8.895336,-0.2009,0.0
