RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
226.5408154118,-56.31726853485,5880538895205342848,1.2212,-7.561,-3.855,95,,1.2681,1.02,20.414282,21.562517,19.130104,2.432413,,-37.10857430465,226.54087600359,-56.31725140085,1.178051,3
226.94894554974,-56.2989071883,5880548657675042688,1.2709,-7.299,-4.039,95,,1.3149,1.015,20.301525,21.490753,19.159494,2.331259,,-37.01398409538,226.94900401326,-56.29888923679,1.2430949999999998,3
227.03947243836,-56.28319935857,5880554327032787072,1.3027,-6.993,-3.877,95,,1.5158,0.994,20.437778,21.66767,19.256254,2.411415,,-36.98214327781,227.03952843335,-56.28318212911,1.322382,3
227.02659446823,-56.28509304353,5880554391441840512,1.2189,-5.497,-3.577,31,1.317,,1.011,18.85858,20.003696,17.891613,2.112083,,-36.98635068754,227.02663848207,-56.28507714772,1.241491,3
226.72005191406,-56.26432637633,5880559790226547968,1.1969,-7.402,-4.392,95,,1.36,1.015,20.519394,,,,,-37.02477888696,226.72011114926,-56.26430685626,1.181449,3
226.83970667894,-56.19225418845,5880561954891756800,1.248,-5.586,-3.788,95,,1.2948,1.043,20.249487,21.549772,19.11603,2.433743,,-36.93434555957,226.83975129716,-56.1922373513,1.214771,3
226.61776068063,-56.33510686214,5880562023611948928,1.1958,-5.482,-3.693,95,,1.2525,1.017,20.302443,21.486473,19.233185,2.253288,,-37.11070461157,226.61780463297,-56.33509044883,1.148604,3
226.60219496744,-56.31923552709,5880562126691170048,1.1909,-6.472,-4.464,95,,1.3344,1.138,20.509409,21.492245,19.39326,2.098986,,-37.098750963,226.60224683752,-56.31921568513,1.168277,3
226.65284355378,-56.30593699089,5880562195409701760,1.2339,-5.494,-3.554,95,,1.2737,1.178,19.28139,20.23591,17.90449,2.331421,,-37.07663636187,226.65288757042,-56.3059211946,1.242891,3
226.56402058475,-56.31202499681,5880562367211898112,1.3673,-6.723,-3.809,95,,1.2757,1.133,20.737127,21.269203,19.423615,1.845589,,-37.09923447601,226.56407445066,-56.31200806819,1.323877,3
226.92470202444,-56.1261480352,5880567967847238656,1.258,-5.619,-3.794,95,,1.2971,1.191,20.530941,,,,,-36.85608535415,226.92474683434,-56.12613117445,1.224077,3
227.08579975877,-56.12255371648,5880568723770541952,1.1732,-5.672,-4.348,95,,1.3569,1.011,18.037077,19.044216,17.0119,2.032316,,-36.82226930195,227.08584498111,-56.12253439204,1.203768,3
227.08159570861,-56.08303603894,5880569101718972800,1.2268,-8.675,-4.19,95,,1.5921,1.037,20.555094,21.48562,19.458082,2.027538,,-36.78587452562,227.08166480751,-56.08301741786,1.264663,3
226.81138632396,-56.0989837145,5880571197663136896,1.1645,-5.655,-3.798,95,,1.4954,1.069,20.410208,21.336021,19.361385,1.974636,,-36.85201126878,226.81143138362,-56.09896683297,1.1794630000000002,3
226.9032807447,-56.09192752827,5880571369461779328,1.2975,-6.588,-3.741,95,,1.3452,1.138,20.63075,21.681837,19.799648,1.882189,,-36.827953223,226.90333323038,-56.09191089964,1.2783110000000002,3
226.92133381328,-56.07455667321,5880571575618836736,1.199,-8.192,-3.609,95,,1.3439,1.083,19.12139,19.147446,17.282755,1.864691,,-36.808194441,226.92139905135,-56.0745406317,1.21598,3
226.78062237571,-56.02610349708,5880572434611021568,1.2146,-7.411,-3.795,95,,1.5119,1.006,20.28337,21.0208,19.008982,2.011818,,-36.78932012741,226.78068131455,-56.02608662833,1.2315539999999998,3
226.83135434291,-55.99077902027,5880572945696625152,1.1142,-6.597,-4.065,95,,1.2495,1.223,18.61891,19.730103,17.428757,2.301346,,-36.74645862419,226.83140676022,-55.99076095519,1.150997,3
226.94971344632,-55.92447606362,5880574977233272448,1.2183,-5.91,-4.099,95,,1.2642,0.996,19.83518,20.908762,18.80672,2.102041,,-36.66161753107,226.94976032367,-55.92445784537,1.189878,3
225.52030633624,-56.32461447082,5881208021044130816,1.2938,-5.675,-4.108,95,,1.2969,1.114,20.519884,21.608038,19.861807,1.746231,,-37.31169719047,225.52035182225,-56.32459621317,1.259346,3
225.26938015674,-56.30945677581,5881254372347571712,1.195,-6.599,-4.281,95,,1.2755,1.015,20.565544,21.284702,19.16605,2.118652,,-37.34639055889,225.26943303084,-56.30943775102,1.152708,3
225.23838312993,-56.29750028967,5881254475426798080,1.3317,-6.873,-4.396,95,,1.2867,1.01,20.300417,21.293772,19.111156,2.182615,,-37.34125748168,225.23843818426,-56.29748075328,1.295358,3
225.3137468764,-56.26502736231,5881255918549442432,1.3536,-6.699,-3.993,95,,1.2715,1.006,20.214396,21.523083,19.252535,2.270548,,-37.2961375972,225.3138004847,-56.2650096153,1.3133849999999998,3
225.38972037177,-56.18219905151,5881256811889419648,1.2212,-9.064,-4.01,95,,1.3932,0.987,20.703604,21.587336,19.864738,1.722597,,-37.20375178504,225.38979275425,-56.18218123009,1.215101,3
225.18590575535,-56.28057056911,5881257464723039488,1.1187,-7.103,-3.847,95,,1.3033,0.92,18.855587,19.777218,17.804192,1.973026,,-37.3356795601,225.1859626202,-56.28055347165,1.14534,3
225.21700627316,-56.2649139438,5881257602163618176,1.2073,-5.881,-4.264,95,,1.3959,1.022,20.213652,21.235384,19.02895,2.206434,,-37.31494127378,225.21705333796,-56.26489499224,1.199153,3
225.09965999479,-56.24587086693,5881258254997242880,1.196,-7.874,-3.876,95,,1.3113,1.044,20.034132,20.980358,18.66568,2.314678,,-37.32011216874,225.09972297516,-56.24585364039,1.167824,3
225.06549502255,-56.21583991876,5881258529875650432,1.2327,-7.516,-4.326,95,,1.4121,1.164,20.332556,20.915459,19.304422,1.611036,,-37.29872191032,225.06555509344,-56.21582069071,1.2288949999999998,3
225.15179243513,-56.19429475182,5881258800439622016,1.2721,-7.039,-4.383,31,1.343,,1.067,18.365223,19.336853,17.38438,1.952473,,-37.26162654375,225.15184866153,-56.1942752698,1.297362,3
225.24316981112,-56.18623830091,5881259595027175168,1.2065,-5.719,-4.276,95,,1.3288,1.031,20.199295,21.572905,19.402578,2.170326,,-37.23618183318,225.24321548185,-56.18621929682,1.182421,3
225.2022159684,-56.18242167522,5881260247862253696,1.1945,-6.5,-4.097,95,,1.2678,1.002,19.805998,21.039177,18.77224,2.266937,,-37.24063032852,225.20226787255,-56.18240346518,1.168419,3
225.18007829933,-56.16463591549,5881260316581797504,1.2207,-8.22,-3.952,95,,1.3411,0.983,20.38983,,,,,-37.22832267939,225.18014390975,-56.16461835048,1.199819,3
225.23127896529,-56.14467401052,5881260831978939392,1.1924,-6.321,-3.617,95,,1.4618,1.084,20.355532,21.245304,19.548773,1.696531,,-37.19960235408,225.23132939448,-56.14465793524,1.1996319999999998,3
225.2345591007,-56.13813533475,5881260831979139712,1.285,-6.391,-3.882,95,,1.2641,1.057,20.581045,21.959902,19.578798,2.381104,,-37.19283865782,225.23461008164,-56.13811808185,1.238474,3
224.92978858332,-56.24740361003,5881264474112640256,1.294,-7.898,-3.949,95,,1.2938,1.043,19.246298,20.235346,18.19336,2.041987,,-37.35492699512,224.92985176177,-56.24738606065,1.305202,3
224.90113645734,-56.23050113817,5881265195667339392,1.1899,-7.464,-3.782,95,,1.2816,0.986,20.48922,,,,,-37.34476343863,224.90119613465,-56.23048432707,1.150443,3
224.87745996833,-56.22816183831,5881265264387960832,1.2084,-6.014,-3.573,95,,1.3618,1.069,19.99087,20.898525,18.66798,2.230545,,-37.34724149432,224.87750805523,-56.2281459581,1.192205,3
224.6480985734,-56.18509664345,5881267807009456896,1.1195,-6.006,-3.596,95,,1.3788,1.049,20.441349,21.558352,19.522934,2.035418,,-37.35230991983,224.64814654172,-56.18508065988,1.10841,3
224.76956473773,-56.21266352214,5881268116247063040,1.177,-6.837,-4.437,95,,1.3809,1.009,20.34268,21.629782,,,,-37.35404342529,224.76961938118,-56.21264380033,1.166009,3
224.72398594667,-56.21226550438,5881268184965770112,1.2764,-6.881,-3.571,95,,1.4191,1.013,20.33003,21.194475,19.186373,2.008102,,-37.36268035092,224.72404093913,-56.21224963544,1.274119,3
224.71479334481,-56.19963919505,5881268288055733760,1.1722,-7.978,-4.175,95,,1.316,1.045,19.946987,,,,,-37.35269740161,224.71485708138,-56.19962063971,1.147938,3
224.71186883183,-56.17886490268,5881269043960097280,1.1781,-5.741,-4.211,95,,1.3862,0.995,20.674862,21.413343,19.304213,2.109131,,-37.33385924318,224.71191467673,-56.1788461868,1.169946,3
224.71074358562,-56.1308128345,5881269456276159744,1.1941,-6.254,-3.998,95,,1.3334,0.968,20.202118,21.025335,19.027239,1.998096,,-37.28916740884,224.71079345893,-56.13079506716,1.171155,3
224.71002754552,-56.10850590211,5881269902953747328,1.1671,-6.724,-3.709,95,,1.7184,0.982,20.547474,21.57727,19.333683,2.243587,,-37.26845752444,224.71008113753,-56.10848941902,1.233346,3
224.98975037265,-56.22745231377,5881270177834796288,1.1801,-7.418,-4.202,95,,1.3147,1.023,19.988089,21.140886,19.045229,2.095657,,-37.32447034452,224.98980967985,-56.22743363695,1.1534609999999998,3
225.04694598468,-56.19507834833,5881270727590681472,1.2328,-5.554,-3.779,95,,1.4546,1.092,20.469755,21.566648,19.366068,2.200581,,-37.28294251123,225.04699035009,-56.19506155226,1.2395219999999998,3
224.96856480214,-56.15081943936,5881271449143036032,1.202,-6.821,-4.529,95,,1.3122,1.043,19.155607,20.314014,18.182377,2.131638,,-37.25695973425,224.96861923075,-56.15079931188,1.218004,3
224.89920250463,-56.17222837028,5881271483504333056,1.1659,-6.989,-3.868,95,,1.5089,1.001,20.750093,21.22115,19.369202,1.851948,,-37.29065160352,224.89925830477,-56.17221117885,1.187876,3
224.93594537741,-56.15527511376,5881271620942302976,1.1458,-5.707,-4.162,95,,1.382,1.032,20.359312,21.420055,19.525673,1.894383,,-37.26755360074,224.93599091916,-56.15525661676,1.13519,3
224.95042471003,-56.10637605208,5881272101987214592,1.1899,-6.143,-3.748,95,,1.2598,1.291,18.789112,19.503586,17.565561,1.938025,,-37.21896103046,224.95047367251,-56.10635939238,1.222146,3
224.97450658922,-56.09282814725,5881272136346962176,1.2797,-8.7,-4.17,95,,1.499,1.02,20.03435,20.374332,18.227383,2.14695,,-37.20154058715,224.97457590122,-56.09280961612,1.291183,3
225.1592603469,-56.01501299512,5881274129203665280,1.2638,-5.697,-3.956,95,,1.3174,1.007,19.796995,20.983686,18.951263,2.032423,,-37.09235623017,225.15930564562,-56.01499541072,1.247515,3
225.0913094067,-55.99921817066,5881274335362229760,1.1577,-6.554,-4.084,95,,1.2614,1.063,19.886232,20.576054,18.60163,1.974424,,-37.09093808579,225.09136149711,-55.99920001824,1.124909,3
224.92419623182,-56.10741529358,5881274674639102720,1.1869,-8.269,-4.168,95,,1.2622,0.967,20.19459,,,,,-37.22510508788,224.92426214073,-56.10739676742,1.144105,3
224.91725116006,-56.10154110608,5881274747688878464,1.359,-5.475,-4.376,95,,1.2549,1.034,20.019733,20.478119,18.54211,1.936009,,-37.22098063976,224.917294786,-56.10152165576,1.316224,3
224.83077364819,-56.10407167772,5881274850758768896,1.2378,-7.358,-4.123,95,,1.5341,1.083,20.563437,21.547039,19.37166,2.175379,,-37.2404222524,224.83083228375,-56.10405335381,1.263171,3
224.85800509955,-56.10201882452,5881274885117003648,1.156,-7.076,-4.247,31,1.312,,1.006,19.455465,20.66326,18.548609,2.114651,,-37.23312252064,224.85806148844,-56.10199994683,1.167881,3
224.87124140056,-56.09973302576,5881274919478268032,1.297,-7.221,-4.166,95,,1.2692,1.121,20.424536,21.550566,19.273388,2.277178,,-37.22837076157,224.87129893807,-56.0997145083,1.253982,3
224.8965984875,-56.05462083495,5881275434874464384,1.2141,-6.121,-3.876,95,,1.3382,1.047,20.527351,21.36459,19.6013,1.76329,,-37.18116986003,224.8966472098,-56.05460360873,1.192497,3
224.82266390464,-56.04085748699,5881276053349759872,1.3426,-5.635,-3.674,95,,1.3194,1.032,20.26109,21.2741,18.968884,2.305216,,-37.18291068309,224.82270873639,-56.0408411564,1.31599,3
224.79872994303,-56.03706024402,5881276087716769664,1.281,-7.601,-3.845,31,1.292,,1.059,18.380735,19.648504,17.152613,2.495892,,-37.18409545443,224.79879041366,-56.03704315432,1.307719,3
224.98588808859,-56.04401518683,5881276774905078656,1.2258,-9.162,-3.672,95,,1.3703,1.017,20.366215,21.593948,19.312721,2.281227,,-37.15362902766,224.98596098906,-56.04399886889,1.212439,3
224.99181156634,-56.01703347938,5881277015422536320,1.1159,-5.678,-3.733,95,,1.56,1.102,20.607359,21.480316,19.223755,2.256561,,-37.12721535635,224.99185671704,-56.01701688766,1.147635,3
