Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb
NGC_5822,5881692149823656320,224.73123909494,-54.56627142519,1.1099,-7.637,-5.249,14.223904,14.590719,13.684692,1.0
NGC_5822,5881693146252823040,225.02919807407,-54.64227961967,1.2323,-7.615,-5.588,13.173482,13.473589,12.706505,1.0
NGC_5822,5881693008813852032,225.0930203756,-54.6394856888,1.177,-7.513,-5.336,17.276005,18.127857,16.374056,1.0
NGC_5822,5881621849790430720,225.25686129716,-54.94467345764,1.2361,-7.625,-4.914,10.945331,11.127864,10.621691,1.0
NGC_5822,5881581129144018944,224.93985582108,-55.47026452977,1.1691,-7.361,-6.179,17.63388,18.448076,16.705523,0.17
NGC_5822,5881580996006755712,224.90764632563,-55.49615994927,1.2179,-7.35,-5.396,19.855055,20.65315,18.516323,0.05
NGC_5822,5881580686832040576,224.8688911692,-55.50551267995,1.1767,-7.114,-5.974,18.934217,19.530582,17.676058,0.05
NGC_5822,5881580686766375040,224.87563409023,-55.49767480101,0.8967,-7.807,-4.586,19.127192,20.343473,18.073154,0.06
NGC_5822,5881692351624567680,225.00778680153,-54.69749108652,0.8578,-7.019,-5.641,19.155716,19.88513,18.1932,0.1
NGC_5822,5881663734314222848,224.529052452,-54.90702280555,1.2427,-8.045,-5.691,15.783429,16.332071,15.084052,0.94
NGC_5822,5881663734314222592,224.51761011408,-54.90950586468,1.2572,-7.735,-5.469,17.059288,17.767277,16.13299,0.99
NGC_5822,5881663631210331264,224.41530046503,-54.83973649682,0.894,-6.82,-6.138,19.813597,20.060743,18.584692,0.06
NGC_5822,5881580892926715264,224.98754231003,-55.49014265495,1.0852,-7.564,-5.369,20.03507,20.845106,18.859558,0.05
NGC_5822,5881581477040489984,224.83650319656,-55.48355121003,1.0152,-8.167,-5.247,19.223436,20.481174,18.048805,0.11
NGC_5822,5881622532624231936,225.54860932793,-55.04357006619,1.174,-7.527,-5.648,12.961983,13.230419,12.532622,1.0
NGC_5822,5881693627291819776,224.96113684183,-54.63196914995,1.213,-7.74,-5.431,12.209894,12.454903,11.826983,1.0
NGC_5822,5881665143038839040,224.45038332006,-54.82342544042,0.9761,-7.633,-4.764,20.227032,20.95504,18.934423,0.06
NGC_5822,5881665177423317248,224.41800365652,-54.8153350921,0.8123,-7.938,-4.346,19.664291,20.523573,18.495916,0.05
NGC_5822,5881665211759932032,224.43201685909,-54.81706622512,1.556,-7.372,-4.619,20.347996,20.496885,19.127377,0.07
NGC_5822,5881622708745269504,225.5548207387,-55.02058341411,1.5262,-7.986,-5.068,19.816015,21.200903,18.605139,0.12
NGC_5822,5881623425985466368,225.39360699943,-55.00179902177,0.9562,-6.776,-5.514,18.246162,19.340206,17.255795,0.15
NGC_5822,5881694658068501632,225.15301186551,-54.59654720153,0.7769,-6.83,-6.041,20.060226,20.455976,18.82147,0.09
NGC_5822,5881582713990170240,224.60199903493,-55.5405069669,1.1955,-8.306,-5.238,19.202396,20.220152,18.08948,0.05
NGC_5822,5881693970886599040,224.99069224924,-54.61480570447,1.167,-7.773,-5.089,12.213491,12.424242,11.858878,1.0
NGC_5822,5881694451911673728,224.99544159886,-54.5567409909,0.8249,-7.421,-5.077,19.89466,20.681927,18.725286,0.06
NGC_5822,5881622983662053504,225.51732450504,-54.9928652876,1.1077,-7.62,-5.686,13.609035,14.058077,12.975439,0.99
NGC_5822,5881582404753155584,224.66496926001,-55.56195737531,0.9198,-7.001,-5.606,19.012068,20.03337,17.989424,0.07
NGC_5822,5881582267316576384,224.89037722401,-55.42702444993,1.0456,-7.001,-5.067,19.745192,20.928585,18.64249,0.06
