RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
226.46148394211,-56.3401629619,5880539174378845568,1.1586,-8.144,-5.034,95,,1.3523,1.021,19.798546,21.077251,18.4084,2.668852,,-37.14518101382,226.46154924491,-56.34014058756,1.148181,2
226.44446743844,-56.30292951671,5880539827213942656,1.1082,-6.309,-5.284,95,,1.2832,1.106,18.936375,20.26683,17.767336,2.499495,,-37.11345978349,226.44451798237,-56.30290603031,1.135459,2
226.49986120915,-56.28555323066,5880539930294491392,1.1275,-6.309,-4.976,95,,1.4025,1.041,20.484121,21.451445,19.451214,2.000231,,-37.08658232114,226.49991172633,-56.28553111561,1.122525,2
227.10517066378,-56.20300080262,5880555078636879488,1.1449,-6.066,-5.452,95,,1.3274,0.982,19.230587,20.561922,18.236923,2.324999,,-36.89431824945,227.10521912878,-56.20297657297,1.157101,2
227.2938717161,-56.14427180425,5880556418662182528,1.1429,-9.288,-5.094,95,,1.3657,0.975,17.841288,18.841225,16.90442,1.936804,,-36.80356184225,227.29394581406,-56.1442491645,1.174316,2
227.27166632928,-56.13990704844,5880556457342791168,1.1014,-6.361,-4.575,31,1.33,,1.023,17.225601,18.298933,16.207342,2.091591,,-36.80362174688,227.2717170689,-56.13988671365,1.13319,2
226.63256041898,-56.33596726466,5880559103034188160,1.1522,-6.801,-4.76,95,,1.2685,1.057,20.492693,21.614817,19.419432,2.195385,,-37.10870267443,226.63261494666,-56.33594610775,1.108382,2
226.75389639027,-56.32141318627,5880559309194018304,1.1565,-7.472,-4.291,95,,1.3418,0.996,20.330713,21.418344,19.303083,2.115261,,-37.07201696487,226.75395627376,-56.32139411356,1.135887,2
226.70226972769,-56.3059859397,5880559545408135936,1.1562,-8.274,-3.758,95,,1.3607,1.067,20.075745,21.428997,18.747637,2.68136,,-37.06730344446,226.70233601289,-56.30596923639,1.139737,2
226.80801012793,-56.30163310739,5880560168183470464,1.1522,-6.725,-6.138,95,,1.2624,0.955,19.56126,20.788565,18.545458,2.243107,,-37.04317951584,226.80806399842,-56.30160582696,1.1419469999999998,2
226.92587150739,-56.26533348338,5880560477422727040,1.1193,-8.761,-5.362,95,,1.4684,1.109,20.216368,21.593405,19.234344,2.35906,,-36.9867674816,226.92594162184,-56.26530965442,1.126581,2
226.61115591831,-56.32426206359,5880562126688627328,1.1041,-5.937,-5.274,95,,1.3154,1.099,19.51814,20.738459,18.440779,2.29768,,-37.10177069334,226.6112035022,-56.32423862286,1.101623,2
226.52788161582,-56.28358309984,5880563191851431680,1.1072,-7.279,-5.266,95,,1.4508,1.038,20.244371,21.528122,18.876766,2.651356,,-37.07939491854,226.52793989937,-56.28355969397,1.1111,2
226.7274207265,-56.20904378521,5880564321402988928,1.1064,-6.655,-3.554,95,,1.2829,1.159,19.197248,20.331528,18.03125,2.300278,,-36.97142007402,226.72747390549,-56.20902799087,1.1206310000000002,2
226.76916514916,-56.2154265851,5880564360071907840,1.1281,-6.443,-3.693,95,,1.365,1.135,20.056944,,,,,-36.96950027852,226.7692166453,-56.21541017191,1.112583,2
226.75837453974,-56.20238160938,5880564463151208192,1.0859,-7.13,-5.78,95,,1.2908,1.018,19.093145,19.986982,17.83846,2.148521,,-36.95928388795,226.75843150541,-56.20235591966,1.106087,2
226.72518479443,-56.16742866116,5880564733729131520,1.1923,-6.942,-6.084,95,,1.2948,1.147,20.01625,21.276743,18.74575,2.530992,,-36.9327268466,226.72524021311,-56.16740162223,1.160354,2
226.74348603035,-56.14244959795,5880565906270242688,1.1288,-6.121,-7.111,95,,1.426,1.114,20.527628,,,,,-36.90576917513,226.7435348569,-56.14241799202,1.129672,2
227.05335503719,-56.11926418211,5880568964287311616,1.0829,-7.062,-3.676,95,,1.245,1.205,18.681665,19.680761,17.433638,2.247124,,-36.82529527991,227.05341133997,-56.11924784556,1.119194,2
227.17481837304,-56.08273170393,5880569204796678656,1.139,-9.254,-4.483,95,,1.2817,1.073,20.26812,,,,,-36.76801244997,227.17489207908,-56.08271177854,1.101935,2
227.01371220773,-56.07220458195,5880570029431913216,1.0911,-7.381,-5.156,95,,1.4647,1.071,20.462303,21.482851,19.161621,2.32123,,-36.78850341788,227.01377097768,-56.0721816683,1.100016,2
