RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
226.97225813475,-55.99003942983,5880573465406373760,1.2793,-8.069,-6.742,95,,1.2834,1.132,20.294247,21.239803,18.81466,2.425144,,-36.71903624737,226.97232224961,-55.9900094665,1.242609,1
226.95572161291,-55.91856804486,5880574977241683840,1.0897,-8.914,-5.621,31,1.551,,1.151,13.823125,14.155239,13.310682,0.844557,-20.28,-36.65491874797,226.95579231411,-55.91854306317,1.1303839999999998,1
226.96478184004,-55.90010366339,5880575114680639488,1.1518,-7.28,-5.884,31,1.395,,1.017,16.938236,17.682375,16.05289,1.629484,,-36.63582517105,226.96483954979,-55.90007751396,1.181979,1
225.51034387482,-56.32108817509,5881208021071017088,1.2755,-6.568,-6.433,95,,1.4001,1.179,20.345642,20.889841,18.88342,2.00642,,-37.31033049386,225.51039651474,-56.32105958306,1.269047,1
225.48452634621,-56.27238261401,5881208467720855040,1.3411,-6.297,-6.313,95,,1.4171,1.159,20.592628,21.38174,19.62429,1.75745,,-37.26973460348,225.48457675325,-56.27235455615,1.340228,1
225.23906140103,-56.31025016176,5881254269267226880,1.2216,-5.915,-7.456,95,,1.4522,1.184,20.131935,21.362417,18.936083,2.426334,,-37.35305717841,225.23910879461,-56.31021702486,1.224745,1
225.27506595693,-56.30521294408,5881254372348491648,1.1296,-7.158,-7.388,95,,1.6653,1.198,20.73679,21.732225,19.444077,2.288149,,-37.34130790684,225.27512329998,-56.30518011036,1.187895,1
225.3983113458,-56.32366689096,5881254849068982016,1.1974,-7.795,-5.878,95,,1.2428,1.016,20.22149,21.756441,19.222744,2.533697,,-37.33454333053,225.39837382811,-56.32364076718,1.147851,1
225.42929206528,-56.29722282459,5881255265700837120,1.3279,-8.587,-4.595,95,,1.4716,1.056,20.193953,21.437029,19.172192,2.264837,,-37.30374905785,225.42936084083,-56.29720240191,1.335599,1
225.47333984065,-56.26130579848,5881255437499664000,1.2791,-5.809,-5.648,95,,1.2942,1.044,20.277779,21.777733,19.461956,2.315777,,-37.26153742777,225.47338632855,-56.26128069436,1.245237,1
225.28503046641,-56.27174582048,5881256090334569600,1.0925,-6.623,-6.821,95,,1.5596,1.101,20.779804,21.387304,19.770493,1.616812,,-37.30803577492,225.28508347771,-56.27171550342,1.126756,1
225.31246836337,-56.22964984623,5881256262133426432,1.2317,-6.394,-5.947,95,,1.3271,1.009,20.34191,21.35428,19.181871,2.172409,,-37.26326807778,225.31251948517,-56.22962341404,1.206993,1
225.36574978618,-56.2507453569,5881256365212581504,1.1229,-7.66,-6.971,95,,1.4152,1.091,20.246252,,,,,-37.27261581037,225.36581106333,-56.25071437514,1.119209,1
225.39146425619,-56.19871191979,5881256605730951040,1.2318,-6.114,-6.417,95,,1.3965,1.136,20.372639,21.382727,19.471437,1.911289,,-37.2188751721,225.39151309772,-56.1986834003,1.224706,1
225.1330645568,-56.28820805368,5881257327298780544,1.0644,-8.456,-6.059,95,,1.6644,1.093,20.22938,21.013172,18.825262,2.18791,,-37.35317410462,225.13313227045,-56.28818112572,1.112346,1
225.12353830014,-56.26012766879,5881257430363971584,1.301,-7.55,-5.809,95,,1.457,0.918,20.550167,21.325071,19.708244,1.616827,,-37.32876833807,225.12359871771,-56.2601018525,1.308989,1
225.02210725521,-56.26110758256,5881258358076882432,1.3266,-8.235,-5.321,95,,1.4616,0.989,20.73463,21.68633,19.993135,1.693195,,-37.3495900349,225.02217315392,-56.26108393519,1.337371,1
225.18017881453,-56.20495690764,5881258736034941312,1.1572,-5.622,-7.488,95,,1.3452,1.086,20.585789,22.078299,19.623234,2.455065,,-37.26603995866,225.1802237403,-56.20492362863,1.137568,1
