RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
229.06236688883,-55.36225474132,5886644242750119936,1.177,-7.684,-4.374,31,1.303,,1.205,18.948235,20.078907,17.824024,2.254883,,-35.73768558782,229.06242697632,-55.36223530023,1.198777,2
228.65123228092,-55.4247730727,5886651359507768704,1.3087,-7.655,-4.643,95,,1.3376,1.039,19.807043,21.238152,18.881247,2.356905,,-35.8722091933,228.65129223206,-55.42475243857,1.29592,2
228.87798448939,-55.37075607651,5886655001641774592,1.1658,-8.309,-3.834,95,,1.4058,0.994,20.26086,21.527931,18.967913,2.560018,,-35.77945394461,228.87804947773,-55.37073903609,1.160688,2
228.96698687733,-55.27684812187,5886657166337544576,1.2078,-6.886,-4.461,95,,1.2997,1.015,18.415487,19.585093,17.317844,2.267248,,-35.67424324461,228.96704060809,-55.27682829437,1.240671,2
228.99884163123,-55.26760342121,5886657303776498560,1.2918,-6.998,-4.422,95,,1.2954,1.01,18.881367,20.332163,17.761595,2.570568,,-35.65965766106,228.99889622095,-55.26758376919,1.3186,2
228.94852227486,-55.26035375115,5886657475541906176,1.2507,-5.937,-3.833,95,,1.3503,0.983,20.034285,21.265955,18.880386,2.385569,,-35.6620066392,228.94856857709,-55.26033671456,1.232499,2
228.8981551355,-55.17551547451,5886660980275422336,1.0914,-7.337,-4.127,95,,1.3514,1.021,19.277864,20.511751,18.169046,2.342705,,-35.59091279409,228.89821224052,-55.17549713338,1.10198,2
229.16256291186,-55.20300852712,5886680462217887104,1.2195,-8.607,-5.499,95,,1.3709,1.078,20.576904,21.497753,19.355297,2.142456,,-35.56855091316,229.16262994226,-55.20298408928,1.208162,2
229.10285709925,-55.15864536596,5886681493005203200,1.1846,-8.254,-5.25,95,,1.323,1.068,19.460375,,,,,-35.53742511781,229.10292131455,-55.15862203273,1.185914,2
229.19899837039,-55.14077739954,5886682317641496832,1.213,-6.085,-3.787,95,,1.2694,0.968,20.304977,21.696098,19.13846,2.557638,,-35.50293311921,229.19904568471,-55.1407605665,1.17315,2
229.23424449696,-55.0809212729,5886682936114489856,1.217,-6.412,-5.841,95,,1.2527,1.072,19.872858,20.77245,18.834475,1.937975,,-35.43977301053,229.23429428558,-55.08089531358,1.184299,2
229.18997919147,-55.0379967297,5886684001270389376,1.1321,-8.643,-4.769,95,,1.4334,1.017,20.630808,21.718647,19.472536,2.246111,,-35.40717353527,229.19004622737,-55.03797553236,1.1359560000000002,2
228.96886656014,-55.18407486683,5886684138705092736,1.2228,-7.146,-4.99,95,,1.2596,0.982,20.2379,21.295479,18.868021,2.427458,,-35.58604398887,228.96892218709,-55.18405268805,1.180397,2
228.94523880831,-55.1404714825,5886684516662504704,1.167,-6.367,-4.884,95,,1.6224,1.088,20.167217,21.461603,19.088997,2.372606,,-35.54908355788,228.94528832011,-55.14044977586,1.204036,2
229.16315408788,-55.01050701749,5886687020630361856,1.2773,-6.486,-5.784,31,1.358,,0.907,17.714287,18.637712,16.791286,1.846426,,-35.38602533664,229.16320435971,-55.01048131112,1.305662,2
228.97017776298,-55.03070369099,5886687677761523072,1.1824,-8.11,-4.879,95,,1.4874,1.115,20.786814,21.880676,19.604511,2.276165,,-35.44053832174,228.97024064937,-55.03068200685,1.199615,2
229.06149940295,-54.99738451466,5886687952637151232,1.2147,-5.816,-5.751,95,,1.3021,1.106,20.004835,21.298141,19.046509,2.251633,,-35.39221068894,229.0615444636,-54.99735895536,1.185604,2
229.07948968493,-54.96702514239,5886688158796802944,1.1366,-7.022,-4.1,95,,1.3567,1.101,19.988016,21.233177,18.687021,2.546156,,-35.36014423644,229.07954405072,-54.96700692003,1.120279,2
229.07562522656,-54.95468856444,5886688193155571456,1.3103,-8.401,-3.641,95,,1.413,1.151,19.491898,20.556122,18.004995,2.551127,,-35.34916298089,229.07569025081,-54.95467238393,1.317443,2
229.06419688097,-54.9380925223,5886688399314100864,1.2595,-7.877,-4.358,95,,1.3103,1.001,20.015509,21.20261,18.971457,2.231154,,-35.3355336184,229.06425782232,-54.9380731556,1.232367,2
229.26059062996,-55.0621327061,5886688846017811712,1.2684,-6.656,-3.783,95,,1.321,1.005,20.000303,,,,,-35.41715695939,229.26064228376,-55.06211589441,1.243724,2
229.19102500412,-55.01326764448,5886689945529581824,1.1662,-8.96,-3.692,95,,1.2746,1.169,18.595203,19.410767,17.195429,2.215338,,-35.38354448461,229.19109445679,-55.01325123656,1.1996559999999998,2
229.2728114803,-54.95477165828,5886690456597384448,1.1432,-8.035,-4.578,95,,1.2437,1.004,18.980288,20.363403,17.871391,2.492012,,-35.31314899289,229.272873671,-54.95475131022,1.173638,2
229.31792131998,-54.90822276822,5886692178885158656,1.1525,-6.942,-5.553,95,,1.4335,1.233,19.243614,20.118324,18.217707,1.900618,,-35.26077648258,229.31797499176,-54.908198086,1.1662910000000002,2
229.38497888432,-54.85103762464,5886692831721663104,1.2991,-7.483,-4.085,95,,1.329,1.158,20.468279,21.391636,19.451145,1.940491,,-35.19430733507,229.38503664969,-54.8510194706,1.276672,2
