RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
228.98118834699,-55.39672821949,-5.613,-6.56,19.143335,2.39924,1.1298,3
229.06242697632,-55.36223530023,-7.684,-4.374,18.948235,2.254883,1.177,3
228.65129223206,-55.42475243857,-7.655,-4.643,19.807043,2.356905,1.3087,3
228.69975025277,-55.41410469253,-7.959,-5.881,20.620901,2.185364,1.1398,3
228.63105674323,-55.3780300511,-8.723,-7.133,20.443266,2.388668,1.3045,3
228.87504164381,-55.44306204382,-6.82,-6.653,19.602625,2.232382,1.3223,3
228.95522057828,-55.40251424929,-5.971,-6.488,20.465656,2.284327,1.2284,3
228.80888334194,-55.36745611492,-7.024,-5.22,18.891136,2.441791,1.134,3
228.87804947773,-55.37073903609,-8.309,-3.834,20.26086,2.560018,1.1658,3
229.05861438622,-55.30927865947,-5.882,-5.835,20.777185,2.534843,1.2215,3
229.02878756784,-55.25788156524,-9.257,-5.549,20.456211,2.238358,1.116,3
228.88636611374,-55.2887021993,-8.329,-6.741,20.854382,2.261066,1.0957,3
228.92923800689,-55.27020541208,-6.776,-5.52,19.701656,2.421867,1.1521,3
228.96704060809,-55.27682829437,-6.886,-4.461,18.415487,2.267248,1.2078,3
228.99889622095,-55.26758376919,-6.998,-4.422,18.881367,2.570568,1.2918,3
228.94856857709,-55.26033671456,-5.937,-3.833,20.034285,2.385569,1.2507,3
228.91958446121,-55.26172796629,-5.891,-4.173,18.75078,2.260712,1.0862,3
228.75332497814,-55.28763116643,-7.205,-5.755,20.34569,2.1318,1.1219,3
228.80069428826,-55.28025150321,-8.59,-5.916,20.084797,2.633164,1.3051,3
228.75099298838,-55.274375852,-5.682,-4.472,19.78914,2.43948,1.1655,3
228.71170978475,-55.25684412994,-6.598,-3.57,20.071033,2.413208,1.1588,3
228.82228181378,-55.22152529853,-7.02,-5.573,20.352798,2.51639,1.2845,3
228.89821224052,-55.17549713338,-7.337,-4.127,19.277864,2.342705,1.0914,3
228.78539443325,-55.20810021964,-6.158,-5.224,20.434443,2.490568,1.1354,3
228.80932951244,-55.18486084966,-8.039,-6.811,20.626467,2.388277,1.3229,3
229.05653660105,-55.25447629918,-6.021,-5.427,20.110199,2.405853,1.1439,3
229.16262994226,-55.20298408928,-8.607,-5.499,20.576904,2.142456,1.2195,3
229.05918803658,-55.17081524033,-6.224,-7.084,19.465738,2.517954,1.1502,3
229.06320416557,-55.18988350047,-5.703,-5.731,19.728306,2.625683,1.2991,3
229.19904568471,-55.1407605665,-6.085,-3.787,20.304977,2.557638,1.213,3
229.23429428558,-55.08089531358,-6.412,-5.841,19.872858,1.937975,1.217,3
229.18418703491,-55.06720877006,-8.078,-7.046,20.647259,2.32473,1.2852,3
229.14336113978,-55.06162466495,-6.734,-5.46,20.544432,2.234253,1.1513,3
229.19004622737,-55.03797553236,-8.643,-4.769,20.630808,2.246111,1.1321,3
228.96892218709,-55.18405268805,-7.146,-4.99,20.2379,2.427458,1.2228,3
228.94528832011,-55.14044977586,-6.367,-4.884,20.167217,2.372606,1.167,3
