RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
120.74850242298,-12.16904778162,3036168014259997824,0.3567,0.2588,0.8023,0.6067,2.525,-2.522,0.528,0.119,0.432,95,,1.4111,1.033,20.078209,20.758951,19.249168,1.509783,,-31.84195855656,120.74851389143,-12.16904830919,0.798188,3
120.77480108819,-12.16391581299,3036173851116718848,0.2784,0.2068,0.7845,0.4647,2.086,-1.933,0.416,-0.784,0.31,31,1.506,,1.023,19.835163,20.270933,19.323252,0.947681,,-31.83081942864,120.77480987849,-12.16391232985,0.7973359999999999,3
120.82195526921,-12.08971729342,3036174611326063104,0.329,0.2461,0.8475,0.5621,3.792,-3.211,0.479,-2.017,0.39,95,,1.4023,1.048,20.124277,20.808762,19.142027,1.666735,,-31.74773579106,120.82196986371,-12.08970832945,0.842145,3
120.80165713606,-12.01664645017,3036177527608927616,0.1308,0.1002,0.8452,0.2183,1.88,-1.865,0.206,-0.244,0.153,31,1.429,,1.009,18.960209,19.550852,18.278694,1.272158,,-31.68154635169,120.80166560868,-12.01664536448,0.866427,3
120.80101107005,-12.01406385941,3036177531903817600,0.3012,0.2494,0.8328,0.4847,2.574,-2.554,0.442,0.324,0.345,95,,1.2617,1.042,19.914051,21.13314,18.79099,2.34215,,-31.67919007956,120.80102267552,-12.01406529825,0.802011,3
120.8502809017,-12.00816797654,3036177669343443456,0.3846,0.2736,0.7563,0.6401,1.238,-1.195,0.54,-0.323,0.444,95,,1.3611,1.031,20.17492,20.816328,19.248264,1.568064,,-31.66192411262,120.85028633019,-12.00816654102,0.74315,3
120.96675373317,-11.98371474856,3037678120460140672,0.4246,0.3368,0.7669,0.6522,2.28,-2.259,0.576,-0.31,0.483,95,,1.2846,1.011,20.102997,21.159498,18.978233,2.181265,,-31.61084366715,120.96676399579,-11.9837133694,0.7360760000000001,3
120.90480904772,-11.98948887169,3037678296559313792,0.0454,0.0338,0.7753,0.0825,3.123,-2.238,0.078,-2.179,0.06,31,1.423,,1.009,17.254555,17.934092,16.48434,1.449751,,-31.63099990985,120.90481921658,-11.98947918908,0.804771,3
120.98619770543,-11.93787314436,3037678915032798080,0.3879,0.3029,0.8782,0.5532,2.547,-0.842,0.54,-2.403,0.444,95,,1.3669,1.026,20.051376,21.148426,19.056408,2.092018,,-31.56177406255,120.98620152947,-11.93786246235,0.865517,3
120.96951641092,-11.92842223176,3037678983754044672,0.0139,0.0106,0.7321,0.021,3.102,-2.527,0.021,-1.8,0.016,31,1.567,,0.936,14.513682,14.816634,14.045068,0.771566,30.25,-31.55652150121,120.96952788838,-11.92841423143,0.774354,3
