RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
122.87503623194,-13.66812421835,5726626199526265600,0.0618,0.0546,0.7324,0.0861,2.11,-2.075,0.094,-0.386,0.082,31,1.434,,1.041,17.558283,18.16761,16.768515,1.399096,,-32.77991825182,122.87504572149,-13.66812250387,0.7608400000000001
122.81877820322,-13.54395799505,5726631357782433536,0.0259,0.0218,0.7728,0.0374,2.051,-1.99,0.038,-0.498,0.03,31,1.535,,1.123,15.771508,16.144722,15.226041,0.918681,,-32.67392825205,122.81878730108,-13.54395578189,0.81528
123.18584722819,-13.42778900122,5726637538236829696,0.0144,0.014,0.7488,0.0204,2.073,-1.986,0.021,-0.595,0.021,31,1.634,,1.129,12.94025,13.119243,12.63662,0.482623,,-32.46989467881,123.18585630315,-13.42778635784,0.782331
123.01879280118,-13.32039505361,5726642696495941888,0.0173,0.0163,0.7629,0.0251,2.625,-2.596,0.026,-0.389,0.024,31,1.565,,1.011,14.799194,15.108126,14.326537,0.781589,,-32.40795399307,123.01880465752,-13.32039332443,0.805157
123.19873959303,-13.35856944657,5726661559992252544,0.0169,0.0159,0.7143,0.0213,2.271,-2.266,0.024,-0.145,0.024,31,1.591,,1.021,14.299912,14.556951,13.885509,0.671442,4.2,-32.39978286668,123.19874994507,-13.35856880324,0.756575
123.43165522733,-13.09529467988,5726673581603843712,0.0287,0.0275,0.7861,0.0418,2.467,-2.427,0.046,-0.443,0.048,31,1.509,,1.022,15.969254,16.398594,15.37081,1.027783,,-32.08687461304,123.43166630342,-13.09529271087,0.8253170000000001
122.70471741972,-13.42070267094,5726680870165439360,0.0543,0.0435,0.6883,0.08,2.288,-2.235,0.083,-0.493,0.064,31,1.44,,0.995,17.297874,17.915932,16.553757,1.362175,,-32.58311657942,122.70472763027,-13.42070047984,0.717649
122.63028194122,-13.43865884838,5726683412786118016,0.0138,0.0101,0.796,0.0203,2.582,-2.473,0.022,-0.739,0.015,31,1.564,,1.026,14.372489,14.678225,13.904002,0.774223,48.77,-32.61893172451,122.63029324388,-13.43865556241,0.83796
122.87124261429,-13.29965234995,5726689322660960000,0.08,0.0754,0.8412,0.0981,2.319,-2.222,0.105,-0.663,0.109,31,1.413,,0.975,17.678974,18.375671,16.890953,1.484718,,-32.4246988366,122.87125276361,-13.29964940331,0.869006
123.01091938373,-13.14931928534,5726715500484524800,0.0388,0.0371,0.7804,0.0525,2.483,-2.274,0.053,-0.999,0.063,31,1.503,,1.167,16.294966,16.736706,15.695759,1.040947,,-32.24456663434,123.01092976054,-13.14931484551,0.813064
123.00549427183,-12.97930266713,5726722548527431296,0.0126,0.0114,0.7587,0.0169,2.738,-2.719,0.019,-0.319,0.021,31,1.599,,1.185,13.510445,13.754144,13.11792,0.636224,36.8,-32.08156718448,123.00550667388,-12.97930125007,0.800698
123.04322244644,-12.94508014901,5726722720326100352,0.0758,0.0722,0.709,0.0958,2.266,-2.231,0.098,-0.396,0.107,31,1.423,,0.933,17.511995,18.194534,16.730547,1.463987,,-32.03907834845,123.04323262149,-12.94507838767,0.737671
123.30580272018,-12.97452219285,5726725366026295168,0.0277,0.0264,0.6588,0.0413,2.177,-2.125,0.041,-0.474,0.041,31,1.523,,1.01,16.040089,16.439684,15.481205,0.958479,,-32.00184188876,123.30581241139,-12.97452008488,0.6949050000000001
123.12370936249,-12.9903061104,5726727221451810304,0.0143,0.0124,0.7158,0.019,2.079,-2.069,0.019,-0.199,0.018,31,1.597,,1.016,14.193339,14.442225,13.794712,0.647512,36.92,-32.06270196421,123.12371879959,-12.99030522755,0.758144
123.08318448684,-12.8118857205,5726743714126200576,0.0159,0.0138,0.7698,0.0251,2.227,-2.05,0.025,-0.87,0.02,31,1.585,,0.962,14.42698,14.696369,14.000173,0.696197,30.85,-31.90035014367,123.08319382922,-12.81188185354,0.812157
123.48634676005,-12.90288328452,5726773194781445760,0.0418,0.0393,0.7266,0.0595,2.225,-2.113,0.06,-0.694,0.057,31,1.487,,0.962,16.779377,17.258663,16.146952,1.111711,,-31.88722745922,123.48635639658,-12.90288019918,0.757866
124.10575595721,-12.87216127185,5726784842733635456,0.0203,0.0207,0.7138,0.0272,2.351,-2.291,0.028,-0.531,0.034,95,,1.6671,0.864,10.635257,10.727135,10.460862,0.266273,19.34,-31.70038259047,124.10576640003,-12.87215891162,0.742122
123.69159862314,-12.44657846968,5726860915192974208,0.0288,0.0248,0.8261,0.0403,2.211,-2.168,0.043,-0.43,0.04,31,1.512,,1.006,15.766513,16.189814,15.175512,1.014301,,-31.39466837151,123.69160849186,-12.44657655739,0.8685369999999999
