RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
120.83669911665,-12.09470390571,3036174538311584000,0.0847,0.0639,0.5912,0.1415,2.219,-1.244,0.144,-1.837,0.106,31,1.414,,0.986,18.386425,19.065283,17.622574,1.442709,,-31.74912095879,120.83670476896,-12.09469574018,0.615366,1
120.82195526921,-12.08971729342,3036174611326063104,0.329,0.2461,0.8475,0.5621,3.792,-3.211,0.479,-2.017,0.39,95,,1.4023,1.048,20.124277,20.808762,19.142027,1.666735,,-31.74773579106,120.82196986371,-12.08970832945,0.842145,1
120.83581537999,-12.03463468476,3036177257031058176,0.0284,0.021,0.6337,0.0464,1.927,-0.763,0.045,-1.769,0.034,95,,1.5115,0.959,16.235035,16.678843,15.635866,1.042976,,-31.69101008558,120.8358188483,-12.03462682066,0.661706,1
120.96675373317,-11.98371474856,3037678120460140672,0.4246,0.3368,0.7669,0.6522,2.28,-2.259,0.576,-0.31,0.483,95,,1.2846,1.011,20.102997,21.159498,18.978233,2.181265,,-31.61084366715,120.96676399579,-11.9837133694,0.7360760000000001,1
120.90480904772,-11.98948887169,3037678296559313792,0.0454,0.0338,0.7753,0.0825,3.123,-2.238,0.078,-2.179,0.06,31,1.423,,1.009,17.254555,17.934092,16.48434,1.449751,,-31.63099990985,120.90481921658,-11.98947918908,0.804771,1
120.98619770543,-11.93787314436,3037678915032798080,0.3879,0.3029,0.8782,0.5532,2.547,-0.842,0.54,-2.403,0.444,95,,1.3669,1.026,20.051376,21.148426,19.056408,2.092018,,-31.56177406255,120.98620152947,-11.93786246235,0.865517,1
120.96951641092,-11.92842223176,3037678983754044672,0.0139,0.0106,0.7321,0.021,3.102,-2.527,0.021,-1.8,0.016,31,1.567,,0.936,14.513682,14.816634,14.045068,0.771566,30.25,-31.55652150121,120.96952788838,-11.92841423143,0.774354,1
120.97604763194,-11.91610080821,3037679013813372672,0.1841,0.1441,0.7221,0.2993,1.762,-1.173,0.268,-1.315,0.217,31,1.47,,0.986,19.412523,19.837828,18.797325,1.040503,,-31.54302579613,120.97605295863,-11.91609496558,0.7383409999999999,1
120.91778392582,-11.93783159701,3037679288691265664,0.425,0.3312,0.9032,0.6345,1.454,-0.889,0.573,-1.15,0.483,95,,1.3472,1.033,20.134151,20.730501,19.3536,1.376902,,-31.57780608964,120.91778796391,-11.93782648401,0.886936,1
120.95483573887,-11.92839720235,3037679636591582464,0.134,0.1193,0.7396,0.2267,3.419,-3.329,0.203,-0.779,0.172,95,,1.5338,1.125,18.776743,,,,,-31.55994683038,120.95485086284,-11.92839374232,0.756119,1
120.93282605073,-11.91868331449,3037679705305762432,0.022,0.0175,0.8144,0.0329,3.094,-2.163,0.033,-2.211,0.027,31,1.508,,0.975,15.765945,16.165089,15.111683,1.053406,,-31.55568602173,120.93283587794,-11.91867348691,0.856772,1
120.93836942945,-11.89900660187,3037680014543913216,0.2736,0.2116,0.7747,0.4485,3.503,-2.859,0.423,-2.024,0.335,95,,1.2994,0.99,19.987991,21.256132,18.875185,2.380947,,-31.53528265686,120.93838241583,-11.89899760826,0.7481490000000001,1
120.94827288013,-11.88237284272,3037680044605552896,0.1365,0.1071,0.5921,0.2195,4.608,-4.283,0.215,-1.7,0.163,95,,1.3757,0.977,19.025019,19.754774,18.216625,1.538149,,-31.5168095126,120.94829233076,-11.88236528582,0.611285,1
121.01855864944,-11.90200961979,3037680564302002816,0.0422,0.0337,0.6893,0.0685,2.0,-1.035,0.064,-1.711,0.052,31,1.456,,0.985,17.120518,17.690449,16.414501,1.275948,,-31.51935048533,121.01856334998,-11.9020020137,0.7193390000000001,1
121.06617225929,-11.8873866628,3037680804818083072,0.2192,0.1633,0.6668,0.3875,2.298,-1.892,0.335,-1.305,0.268,31,1.434,,1.036,19.45786,20.073359,18.745562,1.327797,,-31.49394764466,121.06618085253,-11.88738086312,0.6816009999999999,1
121.06351215174,-11.84055332598,3037681212836697216,0.0666,0.056,0.6131,0.1051,1.796,-1.283,0.103,-1.257,0.085,31,1.454,,0.95,17.784742,18.378313,17.083384,1.29493,,-31.44911722519,121.06351797864,-11.84054774146,0.6405649999999999,1
120.85449386413,-11.93652435373,3037682346707981184,0.5402,0.4235,0.6522,0.9296,1.278,-0.632,0.922,-1.111,0.61,95,,1.6185,1.023,20.583935,21.093128,19.946552,1.146576,,-31.59137949601,120.85449673382,-11.93651941483,0.69157,1
120.91054795829,-11.89464944017,3037682935121186432,0.1645,0.1325,0.6476,0.267,1.273,-0.835,0.252,-0.96,0.196,31,1.474,,1.058,19.218943,19.716166,18.543999,1.172167,,-31.53758215031,120.91055175247,-11.89464517252,0.6661809999999999,1
120.91651118722,-11.86989388771,3037683141279567104,0.5398,0.4275,0.6769,0.9452,1.948,-1.639,0.786,-1.054,0.648,95,,1.2873,1.056,20.564354,21.275963,19.66044,1.615522,,-31.51214954861,120.91651863011,-11.8698892048,0.6462749999999999,1
120.90339211384,-11.85975093398,3037683343140458112,0.1568,0.1242,0.7935,0.2454,2.148,-1.679,0.243,-1.341,0.183,31,1.392,,0.946,19.15764,19.942291,18.374708,1.567583,,-31.50537931076,120.90339973702,-11.85974497569,0.811928,1
120.96585183826,-11.8403016398,3037684683170272640,0.0914,0.0714,0.7696,0.142,1.785,-0.579,0.152,-1.688,0.11,31,1.434,,0.996,18.482662,19.082943,17.72804,1.354902,,-31.47183931228,120.96585446932,-11.840294136,0.7932899999999999,1
120.91360046479,-11.79814839195,3037685782681961088,0.0825,0.0653,0.6143,0.1313,2.87,-1.689,0.127,-2.32,0.097,31,1.412,,1.003,18.370848,19.059074,17.585787,1.473288,,-31.44317702616,120.91360813384,-11.79813808063,0.638521,1
121.1078421617,-11.81943312303,3037687230091232128,0.0245,0.0194,0.632,0.039,2.558,-2.362,0.036,-0.981,0.03,31,1.533,,0.993,15.917223,16.29187,15.37332,0.918551,,-31.41817418642,121.10785288597,-11.81942876143,0.673925,1
121.12514715398,-11.79785639973,3037687642405758720,0.587,0.4851,0.8285,0.7965,2.966,-1.733,0.796,-2.407,0.698,95,,1.3701,0.978,20.517447,21.187773,19.761738,1.426035,,-31.39315295957,121.12515502192,-11.79784570364,0.819653,1
121.20698820714,-11.77219667881,3037688982435807872,0.4837,0.3749,0.6189,0.8024,1.68,-1.498,0.68,-0.76,0.597,95,,1.3891,1.029,20.397673,21.3719,19.317928,2.053972,,-31.34893397128,121.20699500836,-11.77219330247,0.61328,1
121.21801084648,-11.74651141796,3037689184296145792,0.0966,0.0794,0.6686,0.1554,1.351,-1.098,0.15,-0.787,0.122,31,1.348,,0.981,18.439907,19.38895,17.513565,1.875385,,-31.32140360223,121.2180158313,-11.74650791807,0.692893,1
