RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
120.75024500753,-12.17685469873,3036167945540297216,0.0871,0.0647,0.8691,0.1415,3.414,-3.204,0.141,1.178,0.099,31,1.376,,1.031,18.310925,19.15596,17.442314,1.713646,,-31.84913060615,120.75025957629,-12.17685993526,0.8938269999999999,1
120.83079927617,-12.11014011047,3036174508246849152,0.3851,0.2784,0.8398,0.7343,4.241,-4.052,0.606,1.251,0.43,95,,1.3247,1.015,20.33407,21.634747,19.380322,2.254425,,-31.76549006627,120.83081769654,-12.11014567255,0.819051,1
120.80701811394,-12.06706176661,3036174881909004544,0.3465,0.2689,0.6662,0.5719,2.698,-2.457,0.495,1.114,0.432,31,1.484,,0.966,20.039885,20.399418,19.49719,0.902227,,-31.72923979014,120.80702928259,-12.06706671733,0.6762050000000001,1
120.86589169955,-12.05384383978,3036176260594179968,0.3226,0.2353,0.8302,0.5866,1.703,-1.33,0.447,1.063,0.377,95,,1.522,1.032,20.021528,20.645718,19.41659,1.229128,,-31.70260720898,120.86589774609,-12.05384856371,0.845315,1
120.84617805485,-12.05812304778,3036176432395651584,0.0166,0.0125,0.6137,0.0255,4.105,-3.966,0.026,1.059,0.02,31,1.571,,1.014,15.058605,15.354387,14.598854,0.755533,,-31.71138470904,120.84619607978,-12.05812775431,0.656281,1
120.8451726333,-11.95378761004,3036178184739509760,0.2996,0.2205,0.8932,0.5969,4.116,-3.944,0.447,1.176,0.357,95,,1.4063,0.974,20.00084,20.934265,19.032677,1.901588,,-31.61032436187,120.84519055292,-11.95379283861,0.887624,1
120.82862580843,-11.95725929856,3036181105319332480,0.011,0.0089,0.7827,0.0174,2.407,-2.268,0.018,0.805,0.014,31,1.617,,1.267,12.007233,12.213915,11.656758,0.557157,-17.66,-31.61757095062,120.82863611177,-11.95726287568,0.8222119999999999,1
120.93792033315,-11.95825706824,3037678464057534720,0.2647,0.1967,0.6826,0.4315,0.987,-0.867,0.418,0.471,0.304,31,1.507,,0.982,19.707727,20.11004,19.273914,0.836126,,-31.59290670937,120.93792427297,-11.95825916339,0.6967329999999999,1
120.96817445494,-11.95625158707,3037678777595616384,0.0347,0.0272,0.6563,0.0556,1.281,-0.747,0.053,1.041,0.043,31,1.496,,1.0,16.675667,17.133875,16.062828,1.071047,,-31.58385124249,120.96817785069,-11.95625621284,0.687952,1
120.87964602359,-11.93308099317,3037679529209437440,0.479,0.3842,0.6732,0.7257,2.297,-2.009,0.717,1.113,0.575,95,,1.4669,1.053,20.426085,21.130949,19.7326,1.39835,,-31.58214091722,120.87965515061,-11.93308594022,0.682683,1
120.90412487436,-11.91961034771,3037679563569184000,0.118,0.0983,0.7121,0.1805,2.856,-2.851,0.187,0.16,0.152,31,1.428,,1.036,18.7973,19.42811,18.06648,1.36163,,-31.5633218658,120.90413782694,-11.91961105743,0.7341479999999999,1
121.03983780424,-11.9102389739,3037680358143570176,0.3024,0.2328,0.8901,0.5153,3.728,-3.644,0.466,0.789,0.374,95,,1.3349,1.046,19.961433,20.942047,19.006262,1.935785,,-31.52232995888,121.03985435578,-11.91024247919,0.872252,1
120.99400303156,-11.90426569564,3037680495582529152,0.0111,0.0088,0.7257,0.0177,1.923,-1.797,0.016,0.685,0.013,31,1.492,,1.071,11.042953,11.512328,10.409547,1.102781,31.85,-31.52731620402,120.99401119196,-11.9042687382,0.752595,1
121.04225936234,-11.89050029748,3037680594361358208,0.3521,0.2817,0.7965,0.6802,1.793,-1.749,0.517,0.397,0.451,31,1.553,,0.926,20.168825,20.373577,19.762014,0.611563,,-31.5026010043,121.0422673062,-11.89050206107,0.810128,1
121.09541551286,-11.86618305907,3037680937958765696,0.202,0.1658,0.6459,0.3316,2.606,-2.496,0.295,0.75,0.247,95,,1.4388,0.985,19.50287,20.239445,18.682775,1.556669,,-31.46647715877,121.09542684734,-11.86618639431,0.654993,1
121.04022781769,-11.86627174538,3037681041037979264,0.381,0.3303,0.8591,0.7925,2.018,-1.791,0.631,0.931,0.526,95,,1.4095,1.022,20.3728,20.74169,19.787558,0.954132,,-31.47956204512,121.04023594958,-11.86627588443,0.857301,1
120.98686116803,-11.8980286689,3037681247196381568,0.2656,0.1975,0.7937,0.4713,0.789,-0.385,0.397,0.689,0.311,95,,1.3616,1.031,19.837698,20.738459,18.999922,1.738537,,-31.52294102133,120.98686291471,-11.8980317321,0.785281,1
120.96954740642,-11.87382714978,3037681560731508736,0.2355,0.1885,0.7036,0.3687,3.755,-3.691,0.341,0.69,0.277,95,,1.4012,1.215,19.583384,20.340061,18.802084,1.537977,,-31.50351671152,120.96956416798,-11.87383021649,0.707749,1
121.01876439313,-11.85787293975,3037681869971920000,0.0556,0.046,0.6317,0.0893,3.392,-3.304,0.084,0.765,0.068,31,1.461,,1.024,17.599346,18.141903,16.932035,1.209868,,-31.47645978721,121.01877939953,-11.85787634135,0.660216,1
120.84021526692,-11.93115469358,3037682419727828608,0.0469,0.0381,0.6743,0.0759,3.591,-3.585,0.076,0.206,0.058,31,1.407,,1.013,17.464705,18.18789,16.65173,1.536159,,-31.58951105994,120.84023155023,-11.93115561024,0.703197,1
120.88593341127,-11.90895639716,3037682518506691328,0.4481,0.3649,0.8879,0.8223,2.687,-2.493,0.747,1.003,0.569,95,,1.3729,0.995,20.51915,21.133945,19.859241,1.274704,,-31.5572450537,120.88594473275,-11.9089608568,0.879572,1
120.87142675519,-11.88152982408,3037683171341745280,0.37,0.2887,0.6747,0.6654,0.806,-0.664,0.601,0.457,0.445,31,1.518,,1.009,20.220638,20.524727,19.81357,0.711157,,-31.53401742317,120.8714297707,-11.88153185566,0.6864439999999999,1
120.97071289417,-11.84178473519,3037684721828704000,0.9557,0.7964,0.7099,2.3215,2.114,-1.603,2.213,1.378,1.623,95,,1.6036,1.06,20.854967,20.95531,20.188646,0.766664,,-31.47213731327,120.9707201726,-11.84179086172,0.7498319999999999,1
121.00137127391,-11.81597066639,3037685129846903424,0.2977,0.2276,0.72,0.4808,2.507,-2.413,0.449,0.679,0.354,95,,1.3324,1.068,19.95042,20.860428,18.98614,1.874289,,-31.43987436629,121.00138223166,-11.81597368517,0.702162,1
121.01166062417,-11.79949057608,3037685267285882624,0.3328,0.2684,0.8459,0.5213,0.655,-0.579,0.502,0.306,0.411,95,,1.3301,1.061,20.143957,20.65504,19.29254,1.362501,,-31.42145788049,121.0116632532,-11.79949193632,0.826047,1
120.96016167691,-11.81039028892,3037685370365080832,0.3877,0.3109,0.6367,0.6813,1.242,-0.709,0.619,1.019,0.481,95,,1.5685,0.976,20.357811,20.886362,19.67867,1.207691,,-31.44413769465,120.96016489823,-11.81039481953,0.663938,1
120.90402380025,-11.80451797705,3037685851404467840,0.089,0.0708,0.6811,0.1437,4.102,-4.06,0.139,0.586,0.107,31,1.413,,0.933,18.49499,19.177916,17.678867,1.499048,,-31.45160641231,120.90404223533,-11.80452058325,0.704673,1
121.13541360597,-11.83951011707,3037686882193530368,0.2659,0.213,0.8906,0.434,3.13,-3.014,0.395,0.842,0.337,95,,1.38,1.007,19.864704,20.70806,19.184551,1.523508,,-31.43115798635,121.13542729318,-11.83951385968,0.8842549999999999,1
121.12839902676,-11.81314503632,3037687195729160448,0.4668,0.4091,0.8073,0.8527,1.16,-0.891,0.742,0.742,0.643,95,,1.4731,1.053,20.469784,21.053858,19.685694,1.368164,,-31.40722450357,121.12840307313,-11.81314833603,0.818375,1
121.14072530463,-11.79176398384,3037687603748102784,1.11,0.8679,0.6939,1.1434,1.028,-1.023,1.403,0.098,1.25,95,,1.5709,0.951,20.626682,21.221308,19.988747,1.232561,,-31.3835661836,121.1407299493,-11.79176442092,0.724772,1
121.06978746302,-11.81390822197,3037687951642575488,0.2392,0.3118,0.8335,0.3251,2.204,-1.84,0.296,1.213,0.379,95,,1.4453,1.056,19.071135,,,,,-31.42177704141,121.06979581841,-11.81391361355,0.850156,1
121.16686427757,-11.76104343535,3037689291672110464,0.2735,0.2245,0.7708,0.4094,1.648,-1.511,0.428,0.657,0.341,95,,1.5063,1.379,19.48112,19.833921,18.53192,1.302002,,-31.34758414382,121.16687113766,-11.76104635729,0.785161,1
121.26238154809,-11.73313489809,3037689630972765568,0.338,0.2736,0.7992,0.5059,1.11,-0.442,0.532,1.018,0.43,95,,1.5233,0.992,20.106285,20.754747,19.491398,1.263349,,-31.29793317734,121.26238355277,-11.73313942381,0.81543,1
121.15561940987,-11.72769483195,3037690150665550720,0.3221,0.2601,0.7483,0.5115,2.151,-2.03,0.525,0.711,0.414,31,1.472,,1.092,20.09242,20.51815,19.459354,1.058796,,-31.3178712269,121.15562862528,-11.72769799095,0.757622,1
121.12949818266,-11.71563876404,3037690386887034880,0.1416,0.1163,0.6898,0.2184,1.529,-1.528,0.22,0.037,0.183,31,1.501,,1.026,19.055468,19.507135,18.497663,1.009472,,-31.31232864499,121.129505119,-11.71563892872,0.7103889999999999,1
121.19233083244,-11.70384919834,3037690666064838784,0.0326,0.0266,0.6476,0.052,3.194,-2.935,0.05,1.262,0.04,31,1.493,,0.97,16.60129,17.074427,15.979663,1.094764,,-31.28606585296,121.19234415275,-11.70385480527,0.6794389999999999,1
121.03195372639,-11.77821930069,3037691181458017408,0.4492,0.3737,0.7073,0.7775,0.817,-0.367,0.692,0.73,0.52,31,1.485,,0.957,20.458544,20.897892,19.93878,0.959112,,-31.39603782961,121.03195539421,-11.77822254474,0.7170890000000001,1
121.07439531449,-11.73140405185,3037691795636285056,0.1766,0.145,0.7353,0.2597,3.622,-3.365,0.259,1.339,0.212,31,1.449,,1.04,19.298147,19.882687,18.64827,1.234417,,-31.34060917405,121.07441058879,-11.73141000434,0.7525029999999999,1
121.00461176321,-11.69158675003,3037693066947654656,0.1546,0.1216,0.803,0.2337,3.431,-3.221,0.242,1.182,0.179,31,1.389,,1.03,19.075739,19.780361,18.28825,1.492111,,-31.31836411634,121.00462638322,-11.69159200276,0.822654,1
121.02518799549,-11.67518863593,3037693208682456576,0.0412,0.0276,0.7208,0.0636,1.748,-1.032,0.07,1.411,0.042,95,,1.5328,1.069,16.604458,16.595282,15.572995,1.022286,,-31.29761105489,121.0251926776,-11.67519490664,0.745901,1
121.15974771069,-11.67113214612,3037693891580424064,0.1244,0.0988,0.778,0.1892,2.621,-2.547,0.186,0.619,0.15,31,1.435,,1.033,18.726582,19.274082,17.971521,1.302561,,-31.26199984744,121.15975927033,-11.67113489861,0.800394,1
121.172962653,-11.63555469093,3037694132098654976,0.2678,0.198,0.7681,0.4077,2.38,-2.222,0.426,0.853,0.305,95,,1.3834,1.055,19.67567,20.483177,18.812693,1.670484,,-31.22435278875,121.17297273608,-11.635558484,0.7679050000000001,1
121.13796223201,-11.63079616297,3037694273835242624,0.4688,0.3852,0.7242,0.7646,1.476,-1.456,0.754,0.246,0.61,95,,1.4227,1.023,20.449211,21.13773,19.541172,1.596558,,-31.22798428427,121.13796883707,-11.63079725791,0.725725,1
121.0946812505,-11.65613897308,3037694578775213568,0.2335,0.1795,0.8579,0.3895,0.497,-0.432,0.401,0.246,0.284,31,1.548,,1.016,19.71151,20.052038,19.244387,0.807651,,-31.2627758547,121.0946832112,-11.6561400684,0.873472,1
121.0464617199,-11.64583812945,3037694716214185472,0.3027,0.2421,0.7507,0.4855,1.568,-1.496,0.55,0.471,0.404,31,1.521,,1.032,20.07113,20.421217,19.673603,0.747614,,-31.26411850298,121.04646850636,-11.64584022283,0.762582,1
121.11705462306,-11.63629059655,3037694991092112640,0.2548,0.1924,0.67,0.4041,2.292,-2.224,0.399,0.555,0.304,95,,1.4148,0.945,19.774801,20.606676,18.841364,1.765312,,-31.23824211537,121.11706471456,-11.63629306406,0.671141,1
121.10803814921,-11.61845260347,3037695098473667200,0.1803,0.1347,0.6515,0.2793,2.636,-2.559,0.282,0.633,0.212,95,,1.469,0.975,19.272804,19.9172,18.559874,1.357327,,-31.22304996164,121.10804975945,-11.6184554151,0.6655789999999999,1
121.04828499703,-11.6113897849,3037706673403200896,0.4135,0.3167,0.674,0.6507,2.173,-1.751,0.702,1.287,0.504,95,,1.3142,1.019,20.297058,21.113165,19.394743,1.718422,,-31.23024812149,121.04829293963,-11.61139550525,0.6510140000000001,1
121.05338345393,-11.61647260508,3037706677702945408,0.0245,0.0188,0.7129,0.0388,0.878,-0.794,0.039,0.375,0.029,31,1.531,,0.958,16.001781,16.382015,15.456133,0.925882,,-31.23398413615,121.05338705465,-11.61647427266,0.750922,1
121.2510869072,-11.62354329083,3037714679223125120,0.1502,0.1273,0.6607,0.2276,1.029,-0.85,0.223,0.581,0.188,31,1.426,,0.965,18.973001,19.645164,18.254568,1.390596,,-31.19425328498,121.25109076357,-11.62354587137,0.681765,1
121.34972222444,-11.61354375663,3037715606935172864,0.2589,0.2072,0.7602,0.4306,2.422,-2.263,0.394,0.862,0.309,95,,1.5033,1.034,19.770346,20.623432,18.987848,1.635584,,-31.16121340129,121.34973249363,-11.61354758871,0.772902,1
121.44154498144,-11.56983637677,3037716023552526720,0.2249,0.1555,0.5874,0.399,3.668,-3.416,0.348,1.336,0.236,95,,1.5717,0.991,19.657879,20.273186,18.933897,1.339289,,-31.09703110968,121.441560477,-11.56984231581,0.607924,1
121.31257633181,-11.5484486052,3037716912605352576,0.3244,0.2397,0.9042,0.5974,0.599,-0.446,0.55,0.4,0.375,95,,1.3655,0.951,19.958715,20.549377,19.363398,1.18598,,-31.10684069069,121.31257835379,-11.54845038505,0.892495,1
121.362996463,-11.5448227121,3037717054342032640,0.347,0.2582,0.8815,0.6494,1.451,-1.066,0.581,0.984,0.403,95,,1.3803,1.03,20.092834,20.800188,19.22197,1.578218,,-31.09138718556,121.36300130003,-11.5448270847,0.871945,1
121.36979367882,-11.50266942883,3037717501016600832,0.4156,0.2811,0.751,0.7624,1.016,-0.39,0.719,0.938,0.431,95,,1.3449,0.992,20.402266,20.966356,19.519678,1.446678,,-31.04887403183,121.3697954475,-11.5026735997,0.735975,1
