RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
120.93792033315,-11.95825706824,3037678464057534720,0.2647,0.1967,0.6826,0.4315,0.987,-0.867,0.418,0.471,0.304,31,1.507,,0.982,19.707727,20.11004,19.273914,0.836126,,-31.59290670937,120.93792427297,-11.95825916339,0.6967329999999999
120.96931577676,-11.97097650201,3037678571434906496,0.3042,0.2362,0.5958,0.479,1.883,-1.443,0.436,1.21,0.346,31,1.494,,0.997,19.967115,20.329948,19.448605,0.881344,,-31.59787642713,120.96932233094,-11.97098188018,0.606685
120.96817445494,-11.95625158707,3037678777595616384,0.0347,0.0272,0.6563,0.0556,1.281,-0.747,0.053,1.041,0.043,31,1.496,,1.0,16.675667,17.133875,16.062828,1.071047,,-31.58385124249,120.96817785069,-11.95625621284,0.687952
120.98619770543,-11.93787314436,3037678915032798080,0.3879,0.3029,0.8782,0.5532,2.547,-0.842,0.54,-2.403,0.444,95,,1.3669,1.026,20.051376,21.148426,19.056408,2.092018,,-31.56177406255,120.98620152947,-11.93786246235,0.865517
120.96951641092,-11.92842223176,3037678983754044672,0.0139,0.0106,0.7321,0.021,3.102,-2.527,0.021,-1.8,0.016,31,1.567,,0.936,14.513682,14.816634,14.045068,0.771566,30.25,-31.55652150121,120.96952788838,-11.92841423143,0.774354
120.97604763194,-11.91610080821,3037679013813372672,0.1841,0.1441,0.7221,0.2993,1.762,-1.173,0.268,-1.315,0.217,31,1.47,,0.986,19.412523,19.837828,18.797325,1.040503,,-31.54302579613,120.97605295863,-11.91609496558,0.7383409999999999
120.91778392582,-11.93783159701,3037679288691265664,0.425,0.3312,0.9032,0.6345,1.454,-0.889,0.573,-1.15,0.483,95,,1.3472,1.033,20.134151,20.730501,19.3536,1.376902,,-31.57780608964,120.91778796391,-11.93782648401,0.886936
120.87964602359,-11.93308099317,3037679529209437440,0.479,0.3842,0.6732,0.7257,2.297,-2.009,0.717,1.113,0.575,95,,1.4669,1.053,20.426085,21.130949,19.7326,1.39835,,-31.58214091722,120.87965515061,-11.93308594022,0.682683
120.90412487436,-11.91961034771,3037679563569184000,0.118,0.0983,0.7121,0.1805,2.856,-2.851,0.187,0.16,0.152,31,1.428,,1.036,18.7973,19.42811,18.06648,1.36163,,-31.5633218658,120.90413782694,-11.91961105743,0.7341479999999999
120.95483573887,-11.92839720235,3037679636591582464,0.134,0.1193,0.7396,0.2267,3.419,-3.329,0.203,-0.779,0.172,95,,1.5338,1.125,18.776743,,,,,-31.55994683038,120.95485086284,-11.92839374232,0.756119
