RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
121.07439531449,-11.73140405185,3037691795636285056,0.1766,0.145,0.7353,0.2597,3.622,-3.365,0.259,1.339,0.212,31,1.449,,1.04,19.298147,19.882687,18.64827,1.234417,,-31.34060917405,121.07441058879,-11.73141000434,0.7525029999999999
121.00461176321,-11.69158675003,3037693066947654656,0.1546,0.1216,0.803,0.2337,3.431,-3.221,0.242,1.182,0.179,31,1.389,,1.03,19.075739,19.780361,18.28825,1.492111,,-31.31836411634,121.00462638322,-11.69159200276,0.822654
121.007463248,-11.65979628211,3037693277405009792,0.1227,0.0957,0.8451,0.19,2.006,-1.98,0.197,-0.324,0.144,31,1.478,,0.997,18.795395,19.332928,18.189022,1.143906,,-31.2868316586,121.00747223171,-11.6597948404,0.8673029999999999
121.15974771069,-11.67113214612,3037693891580424064,0.1244,0.0988,0.778,0.1892,2.621,-2.547,0.186,0.619,0.15,31,1.435,,1.033,18.726582,19.274082,17.971521,1.302561,,-31.26199984744,121.15975927033,-11.67113489861,0.800394
121.172962653,-11.63555469093,3037694132098654976,0.2678,0.198,0.7681,0.4077,2.38,-2.222,0.426,0.853,0.305,95,,1.3834,1.055,19.67567,20.483177,18.812693,1.670484,,-31.22435278875,121.17297273608,-11.635558484,0.7679050000000001
121.12592947861,-11.58358448053,3037695442071042048,0.1735,0.1313,0.7179,0.2668,3.969,-3.939,0.27,-0.483,0.203,95,,1.5751,1.046,19.173063,19.624222,18.598173,1.026049,,-31.18499174135,121.12594735068,-11.58358233248,0.734397
121.35002733358,-11.65786039834,3037713824526639616,0.4181,0.3453,0.7481,0.6378,2.906,-2.901,0.666,0.175,0.52,95,,1.2926,1.033,20.26429,21.102318,19.27295,1.829369,,-31.20414162671,121.35004049926,-11.65786117445,0.719556
121.23759253008,-11.66748875352,3037714301265017344,0.1371,0.1146,0.7403,0.2196,1.782,-1.656,0.216,-0.658,0.178,31,1.492,,1.023,18.941053,19.395557,18.313808,1.081749,,-31.24008924394,121.23760004744,-11.66748582878,0.761747
121.26329486706,-11.63963716391,3037714477364410624,0.0582,0.049,0.7918,0.0901,1.78,-1.757,0.087,0.285,0.073,31,1.387,,1.195,17.244413,18.021803,16.353176,1.668627,,-31.20698629165,121.26330284118,-11.6396384284,0.8216509999999999
121.26823119579,-11.59920465851,3037715164559163520,0.0129,0.0104,0.7856,0.0208,2.375,-2.213,0.019,-0.862,0.015,31,1.589,,0.98,14.309424,14.566812,13.895584,0.671228,42.05,-31.16658194863,121.26824123699,-11.59920082525,0.828058
121.34972222444,-11.61354375663,3037715606935172864,0.2589,0.2072,0.7602,0.4306,2.422,-2.263,0.394,0.862,0.309,95,,1.5033,1.034,19.770346,20.623432,18.987848,1.635584,,-31.16121340129,121.34973249363,-11.61354758871,0.772902
121.37202101524,-11.56898928725,3037716607668115072,0.2054,0.1532,0.7294,0.3783,2.676,-2.675,0.344,0.068,0.235,31,1.447,,0.987,19.62504,20.217619,19.02544,1.192179,,-31.11269853538,121.37203314922,-11.56898958893,0.74234
121.16695341824,-11.60790614298,3037717878974240128,0.3667,0.2707,0.8072,0.6378,2.136,-2.064,0.619,0.549,0.435,95,,1.505,0.949,20.205027,20.623688,19.608313,1.015375,,-31.19893418863,121.16696278327,-11.60790858484,0.8212630000000001
121.16593566735,-11.55870775568,3037719047205278464,0.046,0.0367,0.8254,0.0764,3.956,-3.889,0.071,0.729,0.054,31,1.511,,1.013,17.048647,17.454998,16.413044,1.041954,,-31.15142100285,121.16595330814,-11.55871099575,0.856259
121.2107215459,-11.52328489009,3037719386507338752,0.1461,0.1109,0.7719,0.2474,2.148,-1.946,0.223,0.909,0.165,31,1.409,,1.04,18.976755,19.65929,18.252113,1.407177,,-31.10647965194,121.21073037311,-11.5232889292,0.7928820000000001
121.34562175206,-11.50359498644,3037720314219538048,0.3582,0.2804,0.8685,0.7365,2.487,-2.385,0.663,-0.704,0.455,31,1.425,,1.025,20.192268,20.811901,19.521189,1.290712,,-31.05549526767,121.34563256928,-11.5035918579,0.875218
121.47072054495,-11.52030490825,3037722345744355200,0.0128,0.0095,0.7575,0.0198,3.089,-2.922,0.02,1.001,0.014,31,1.582,,0.994,14.322816,14.595732,13.892519,0.703213,49.44,-31.04204867577,121.4707337999,-11.52030935537,0.799905
121.42610018149,-11.47678284252,3037723445255992448,0.0652,0.0507,0.7479,0.1025,4.24,-4.238,0.107,-0.148,0.078,31,1.463,,1.031,17.70523,18.251917,17.031696,1.220221,,-31.01041153767,121.42611940012,-11.47678218309,0.775881
121.49753431552,-11.43594599184,3037725300681807360,0.2164,0.145,0.7029,0.394,2.611,-2.498,0.381,0.761,0.227,95,,1.4371,1.049,19.635042,20.288845,18.77874,1.510105,,-30.95383620648,121.49754564252,-11.43594937298,0.709515
121.51877357488,-11.41781100863,3037725438120745344,0.0484,0.0347,0.6634,0.0804,2.819,-2.792,0.086,0.392,0.052,31,1.488,,0.996,17.421207,17.913649,16.791542,1.122107,,-30.93119603556,121.51878623384,-11.41781275299,0.693013
121.49038016249,-11.42251310871,3037725502540188288,0.1641,0.1104,0.8435,0.2914,3.833,-3.782,0.282,0.622,0.17,95,,1.2409,1.009,19.186823,20.51742,18.062273,2.455147,,-30.94250265532,121.49039731178,-11.42251587507,0.860152
121.56171245191,-11.39161321986,3037725816077851136,0.0095,0.0069,0.6901,0.0148,3.679,-3.677,0.016,-0.123,0.01,31,1.591,,0.934,12.995784,13.251242,12.585386,0.665855,28.79,-30.89557211994,121.56172912397,-11.39161267422,0.7249540000000001
121.5430264614,-11.39174900788,3037725850435022464,0.3365,0.2222,0.8668,0.5839,2.692,-2.537,0.576,0.901,0.354,95,,1.27,1.049,20.022371,21.276985,18.905535,2.37145,,-30.90014727144,121.54303796294,-11.39175301386,0.83312
121.52806350483,-11.36404269764,3037726155377604224,0.1094,0.0818,0.8535,0.1868,3.68,-3.672,0.191,0.25,0.122,31,1.326,,0.979,18.795658,19.795864,17.80049,1.995375,,-30.87682371848,121.5280801511,-11.36404380773,0.8755860000000001
121.398682265,-11.47161419698,3037726468912980736,0.0862,0.0673,0.6879,0.144,1.775,-1.757,0.144,0.253,0.1,31,1.355,,1.005,18.262419,19.168974,17.338312,1.830662,,-31.01189606034,121.39869023193,-11.4716153211,0.7131639999999999
121.39997935068,-11.41915414991,3037727151810008448,0.0453,0.034,0.8619,0.0732,2.83,-2.83,0.074,0.011,0.049,31,1.432,,0.981,17.196522,17.909328,16.396086,1.513243,,-30.96068460567,121.39999218284,-11.41915419741,0.8916
121.39295834085,-11.4276065835,3037727156102925056,0.3106,0.2111,0.8818,0.6033,2.506,-2.222,0.511,1.159,0.322,95,,1.3596,1.013,20.057909,21.007423,19.183367,1.824057,,-30.97054964345,121.39296841649,-11.42761173571,0.867993
