GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
5727506358580893952,122.56680990179,-12.71407539941,0.7398,-2.439,-0.169,11.792631,11.877829,11.627489,NGC_2539,1.0
5727506358584252288,122.56800299155,-12.71503994605,0.8475,-2.248,-0.191,17.7588,18.068443,16.757595,NGC_2539,0.56
5727506362882256768,122.57779547679,-12.71824195981,0.5474,-2.303,-0.675,18.654287,19.645117,17.710072,NGC_2539,0.5
5727506431601749760,122.54512299162,-12.72157288442,0.7713,-2.366,-0.705,14.504693,14.780209,14.068916,NGC_2539,1.0
5727506603400415104,122.5797371579,-12.6892922972,0.7599,-2.315,-0.583,14.724568,15.018206,14.270326,NGC_2539,1.0
5727506770898625280,122.47034926835,-12.72709009289,0.5716,-2.377,-0.512,19.043196,20.110928,18.06512,NGC_2539,0.53
5727506843918633600,122.49037007962,-12.71860945275,0.7508,-2.39,-0.681,16.109724,16.540092,15.520558,NGC_2539,1.0
5727506912637484160,122.4935881631,-12.70869232969,0.767,-2.369,-0.65,15.882527,16.318466,15.2801485,NGC_2539,1.0
5727506156723840512,122.56601385366,-12.74624795383,0.738,-2.531,-0.762,15.333815,15.682803,14.82479,NGC_2539,1.0
5727503717182273152,122.86232328832,-12.59590555298,0.7152,-2.416,-0.484,15.264612,15.6041565,14.759951,NGC_2539,1.0
5727510005013976576,122.424303258,-12.70189239118,0.7746,-2.309,-0.597,15.186569,15.575337,14.625689,NGC_2539,1.0
5727510309951829504,122.42856275362,-12.67196716717,1.069,-2.331,-0.587,18.981287,20.215942,17.889425,NGC_2539,0.21
5727514884096631808,122.68818592604,-12.57984504022,0.7175,-2.319,-0.516,15.840849,16.245035,15.269587,NGC_2539,1.0
5727515021536229760,122.72502816393,-12.57836007808,0.7076,-2.33,-0.588,16.330564,16.79142,15.706942,NGC_2539,1.0
5726833216947017344,123.4843599497,-12.64750233386,0.8482,-2.299,-0.578,19.266724,20.482306,18.249353,NGC_2539,0.3
5727515566992057216,122.63708785483,-12.58351149473,0.3511,-2.475,-0.061,19.376024,20.52723,18.343292,NGC_2539,0.12
5727515640010877696,122.6794734478,-12.57125240813,0.528,-2.609,-0.524,17.67247,18.213346,17.037642,NGC_2539,0.16
5726725366026295168,123.30580272018,-12.97452219285,0.6588,-2.125,-0.474,16.040089,16.439684,15.481205,NGC_2539,0.86
5727515876230691072,122.62719601699,-12.55170851893,0.2739,-2.777,-0.666,19.627865,20.979181,18.562439,NGC_2539,0.07
5726834217676380928,123.44552513918,-12.61999776009,0.7781,-2.501,-0.271,17.968126,18.776112,17.104576,NGC_2539,0.54
5727516086687451264,122.70678215967,-12.53811448675,0.7722,-2.412,-0.503,15.044571,15.411604,14.510172,NGC_2539,1.0
5727516945680879872,122.7484698463,-12.52326205361,0.7451,-2.57,-0.233,18.383331,19.336452,17.432987,NGC_2539,0.53
5727517181900004352,122.83909277947,-12.49554080463,0.6202,-3.039,-0.049,19.189934,20.21096,18.185335,NGC_2539,0.09
5727517289278914176,122.84914059541,-12.49471982198,0.4528,-2.539,-0.447,17.731821,18.24833,17.097279,NGC_2539,0.05
5727517426717194368,122.79821379597,-12.49217491066,0.7835,-2.316,-0.667,14.113141,14.367702,13.706549,NGC_2539,1.0
5727517495436670336,122.79024104286,-12.47760465681,0.9697,-2.193,-0.717,18.16847,19.063126,17.264343,NGC_2539,0.54
5727517903455280256,122.75542488977,-12.48500079346,0.8183,-2.371,-0.211,18.513763,19.586367,17.458454,NGC_2539,0.36
5727518006533773696,122.73278314301,-12.4788690936,0.6892,-2.078,-0.378,19.508696,20.598845,18.436905,NGC_2539,0.13
5727518113911976064,122.73751836874,-12.47577838878,0.9204,-2.432,-0.6,18.400814,19.270617,17.499525,NGC_2539,0.6
5727518247051958144,122.78977740585,-12.47272262037,0.3688,-2.405,-0.711,20.055616,20.664364,18.982138,NGC_2539,0.1
5727518487568522368,122.8113062112,-12.43708335432,0.7053,-2.297,-0.778,11.7218685,11.855038,11.466189,NGC_2539,1.0
5727518629308035072,122.76854948485,-12.43325490074,0.6366,-1.998,-0.914,18.443478,19.511496,17.440691,NGC_2539,0.21
5727518869827303552,122.59428645716,-12.53884040408,0.8208,-2.173,-0.261,17.054497,17.702412,16.294235,NGC_2539,0.94
5727519144704232960,122.57363803462,-12.52904277047,0.8737,-2.329,-0.498,16.289305,16.751537,15.667805,NGC_2539,1.0
5726838203406143232,123.1772841688,-12.73335836603,0.5675,-2.434,-0.968,18.180758,18.908934,17.386124,NGC_2539,0.07
