GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx_x,e_Plx,RPlx,PM,pmRA_x,e_pmRA,pmDE_x,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag_x,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag_x,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
5725170587869427200,122.22680822656,-13.74820072594,0.7319,-2.006,-0.494,15.573673,15.898971,15.081951,NGC_2539,0.64,Gaia DR3 5725170587869427200,122.22680822656,-13.74820072594,0.0,0.0,98.0,1636148068921376768,5725170587869427200,1609993709,0.0218,0.0181,0.7319,0.0351,20.8741,2.066,-2.006,0.032,-0.494,0.024,-0.0557,-0.071,0.0643,-0.1345,0.1885,-0.0101,0.5913,0.1988,-0.0436,0.1251,630,0,625,5,-0.3078,636.47,0.029,0.17389,31,false,1.556,,,,,,,,73,20,0.045385,75,0.02375,71.79,0,0,0.991,0,640,11103.94713,2.86128,3880.76,15.573673,0.002769,64,5968.0,10.4593,570.59,15.898971,0.003377,63,7351.53,10.6057,693.168,15.081951,0.004091,1.2,0,1,0,0,0,0.817019,0.325297,0.491722,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999969,5747.2,5714.9,5777.1,4.5303,4.5102,4.5563,-0.5592,-0.5926,-0.5217,1139.0295,1109.5952,1170.9283,0.0895,0.0707,0.1074,0.0753,0.0594,0.0904,0.0407,0.0321,0.0489,MARCS,122.22681740598,-13.74819852912,0.515496,0.371717,0.1351,0.0
5725169724574250368,122.43636937176,-13.68764094363,0.7825,-2.457,-0.398,17.5918,18.29011,16.808563,NGC_2539,0.83,Gaia DR3 5725169724574250368,122.43636937176,-13.68764094363,0.0,0.0,106.0,1636148068921376768,5725169724574250368,470416920,0.0612,0.0474,0.7825,0.0988,7.9183,2.489,-2.457,0.088,-0.398,0.066,-0.1615,0.1181,0.131,-0.1799,-0.1458,-0.0996,0.4811,0.2819,-0.262,0.0311,580,0,579,1,-0.7958,571.37,0.0,0.0,31,false,1.423,,,,,,,,67,19,0.124516,70,0.02095,39.46,0,0,0.976,0,588,1730.71713,1.27443,1358.03,17.5918,0.002869,60,659.741,6.64205,99.3278,18.29011,0.011281,60,1498.76,7.29463,205.461,16.808563,0.006497,1.247,0,1,0,3,0,1.481546,0.698309,0.783237,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999943,4443.0,4418.4,4464.6,4.6483,4.6373,4.657,0.012,-0.0147,0.0621,1213.3745,1198.3027,1233.5059,0.2649,0.2254,0.2976,0.1999,0.1699,0.2249,0.1052,0.0894,0.1184,MARCS,122.43638060981,-13.68763917412,1.402404,1.034618,0.0442,0.0
5725169071739202944,122.46152001235,-13.69469194006,0.6672,-2.074,-0.623,19.428682,20.374378,18.522696,NGC_2539,0.06,Gaia DR3 5725169071739202944,122.46152001235,-13.69469194006,0.0,0.0,109.0,1636148068921376768,5725169071739202944,294696682,0.2166,0.1641,0.6672,0.3346,1.994,2.166,-2.074,0.305,-0.623,0.219,-0.2136,0.0329,0.0212,-0.2174,-0.041,-0.0933,0.4691,0.3156,-0.2972,-0.0104,581,0,575,6,3.0874,711.51,0.94,2.1305,31,true,1.341,,,,,,,,67,19,0.43131,70,0.008771,74.88,0,0,1.092,0,570,318.76736,0.699015,456.024,19.428682,0.003641,59,96.7533,4.41772,21.9012,20.374378,0.049653,58,309.086,4.41835,69.9551,18.522696,0.015974,1.273,0,2,0,1,0,1.851683,0.945696,0.905987,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,122.46152950117,-13.6946891724,4.87638,3.432825,0.0033,0.0
5725168079608466304,122.44324469018,-13.76548591696,0.7389,-2.559,-0.37,14.012406,14.255021,13.619826,NGC_2539,0.98,Gaia DR3 5725168079608466304,122.44324469018,-13.76548591696,0.0,0.0,98.0,1636148068921376768,5725168079608466304,1369623263,0.0116,0.0087,0.7389,0.0173,42.6105,2.586,-2.559,0.017,-0.37,0.012,-0.0842,0.0321,-0.053,-0.1749,-0.0049,-0.0784,0.4131,0.2534,-0.2032,0.075,610,0,608,2,1.996,686.63,0.037,1.0199,31,false,1.598,,,,,,,,70,21,0.023965,73,0.01631,56.53,0,0,1.057,1,617,46771.79315,9.79754,4773.83,14.012406,0.002765,67,27127.4,17.4058,1558.53,14.255021,0.002876,67,28263.6,15.3773,1838.01,13.619826,0.003825,1.184,0,3,0,3,0,0.635195,0.242615,0.39258,32.14,7.73,2,37,5,14,8.6327,,,842.235,,6250.0,3.5,-0.25,111,,,,13.476322,0.091179,33,,NOT_AVAILABLE,0.0,0.0,0.999798,6766.7,6755.2,6779.7,4.3534,4.3463,4.3602,-0.1269,-0.1358,-0.1172,1157.0023,1143.0472,1173.3563,0.2643,0.2584,0.2702,0.2312,0.2261,0.2366,0.1246,0.1218,0.1275,MARCS,122.44325640061,-13.76548427079,0.274634,0.186572,0.0871,0.0
5725166258536061824,122.34600753437,-13.80839490549,0.5746,-2.408,-0.7,18.948763,19.512903,18.026894,NGC_2539,0.15,Gaia DR3 5725166258536061824,122.34600753437,-13.80839490549,0.0,0.0,103.0,1636148068921376768,5725166258536061824,1581876915,0.145,0.1054,0.5746,0.214,2.6847,2.507,-2.408,0.206,-0.7,0.139,-0.1543,-0.0475,-0.0203,-0.2546,0.0173,-0.1514,0.5306,0.2814,-0.1771,0.0036,639,0,638,1,0.1567,674.55,0.0,0.0,95,false,,1.3634,0.0339,-0.178,-0.022,-0.112,0.057,0.088,73,22,0.288815,75,0.0201,83.66,0,0,1.004,0,647,495.95406,0.768621,645.252,18.948763,0.003228,55,213.922,7.70289,27.7717,19.512903,0.039195,57,487.979,7.89522,61.8069,18.026894,0.017969,1.415,0,1,0,2,0,1.48601,0.56414,0.921869,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,3991.4,3974.7,4014.0,5.0311,4.9729,5.0704,-1.4735,-1.5723,-1.3143,756.3821,682.965,911.8307,0.0243,0.0055,0.0626,0.0178,0.004,0.046,0.0095,0.0021,0.0247,PHOENIX,122.34601855392,-13.80839179456,3.294429,2.175515,0.0221,0.0
5725164574914527488,122.01067242936,-13.62539711961,0.7983,-2.602,-0.721,16.956326,17.500303,16.282553,NGC_2539,0.48,Gaia DR3 5725164574914527488,122.01067242936,-13.62539711961,0.0,0.0,109.0,1636148068921376768,5725164574914527488,1063184872,0.0442,0.0332,0.7983,0.0671,11.9055,2.7,-2.602,0.065,-0.721,0.046,-0.2187,0.002,-0.0507,-0.2721,-0.0757,-0.172,0.5379,0.3233,-0.2567,-0.0697,631,0,626,5,0.4111,663.06,0.0,3.2259E-15,31,false,1.467,,,,,,,,72,21,0.091982,73,0.03469,92.65,0,0,1.011,0,632,3107.53666,1.5508,2003.83,16.956326,0.002808,66,1365.51,6.94874,196.512,17.500303,0.00619,65,2432.97,7.64019,318.444,16.282553,0.00509,1.222,0,3,0,2,0,1.217751,0.543978,0.673773,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999961,4805.9,4765.3,4834.4,4.6897,4.6791,4.7009,-0.4202,-0.4865,-0.37,1080.0454,1047.029,1105.4153,0.1908,0.1634,0.2133,0.1499,0.1281,0.1676,0.0796,0.0679,0.0889,PHOENIX,122.01068433026,-13.62539391688,1.039677,0.721355,-0.0518,0.0
3037827933219847808,121.82986114421,-11.20417397317,0.7137,-2.425,-0.482,17.67431,18.312265,16.896051,NGC_2539,0.06,Gaia DR3 3037827933219847808,121.82986114421,-11.20417397317,0.0,0.0,109.0,1636148068921376768,3037827933219847808,28324791,0.0585,0.0418,0.7137,0.1001,7.1284,2.472,-2.425,0.096,-0.482,0.061,-0.2765,0.0382,0.0715,-0.1288,0.0927,0.0825,0.4477,0.3798,-0.2021,0.0502,784,0,780,4,-0.7551,778.57,0.0,0.0,31,false,1.422,,,,,,,,90,19,0.135761,93,0.03334,85.53,0,0,0.98,0,784,1604.06652,1.73633,923.826,17.67431,0.002996,89,646.414,7.29721,88.5837,18.312265,0.01257,84,1382.73,8.08533,171.017,16.896051,0.007388,1.265,0,3,0,4,0,1.416214,0.637955,0.778259,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999973,4638.5,4605.7,4668.4,4.5847,4.3974,4.6367,-1.4796,-1.5302,-1.3401,1188.5343,1109.7255,1593.8342,0.6375,0.5978,0.6735,0.4912,0.4599,0.5198,0.2668,0.2498,0.2824,MARCS,121.82987212936,-11.20417183181,1.526245,0.952825,0.0522,0.0
5726692964793218176,122.84390981705,-13.22438101764,0.4587,-2.433,-0.409,18.625748,19.563393,17.680029,NGC_2539,0.23,Gaia DR3 5726692964793218176,122.84390981705,-13.22438101764,0.0,0.0,140.0,1636148068921376768,5726692964793218176,940876835,0.1366,0.1475,0.4587,0.1759,2.6085,2.467,-2.433,0.187,-0.409,0.214,-0.4584,-0.0772,-0.2527,0.3522,-0.0468,0.2707,-0.4716,0.1615,-0.0739,-0.2545,360,0,358,2,1.683,416.48,0.359,0.74753,31,false,1.35,,,,,,,,42,21,0.33093,43,0.00486,11.23,0,0,1.063,0,349,667.80147,1.166,572.729,18.625748,0.003344,40,204.202,7.70145,26.5147,19.563393,0.041043,39,671.655,7.14759,93.9694,17.680029,0.012157,1.312,0,1,0,2,0,1.883364,0.937645,0.945719,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999985,3617.7,3588.4,3682.5,4.735,4.6343,4.8844,-0.9826,-1.1263,-0.7723,652.0405,601.7073,722.3945,0.0371,0.0079,0.1021,0.026,0.0056,0.072,0.0142,0.003,0.0397,PHOENIX,122.84392092444,-13.22437920015,3.028259,3.496419,-0.2739,0.0
5725173577166990592,122.30649462329,-13.6492832263,0.4769,-2.451,-0.196,18.751348,19.377506,17.821014,NGC_2539,0.08,Gaia DR3 5725173577166990592,122.30649462329,-13.6492832263,0.0,0.0,103.0,1636148068921376768,5725173577166990592,6208661,0.1241,0.0992,0.4769,0.2097,2.2739,2.459,-2.451,0.187,-0.196,0.134,-0.109,0.0036,0.0377,-0.2048,0.1564,-0.0462,0.5981,0.3022,-0.0346,0.0715,636,0,633,3,-1.5246,600.35,0.0,0.0,95,false,,1.4135,0.028,-0.105,-0.015,-0.103,0.101,0.045,73,20,0.264838,75,0.0296,83.54,0,0,0.957,0,643,594.8497,1.59235,373.567,18.751348,0.004005,69,242.334,5.18129,46.771,19.377506,0.023381,69,589.865,6.15712,95.8021,17.821014,0.011947,1.399,0,1,0,0,0,1.556492,0.626158,0.930334,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999992,4023.2,3990.4,4081.6,4.82,4.664,4.8832,-2.0296,-2.2165,-1.8177,704.9373,641.0391,866.2245,0.0637,0.0189,0.1527,0.047,0.0139,0.1128,0.0253,0.0074,0.0607,MARCS,122.30650583347,-13.64928235686,2.995713,2.090103,0.0842,0.0
5725110939362345216,122.86674512936,-13.84072110546,0.7308,-2.18,-0.161,15.589253,15.944914,15.06904,NGC_2539,0.24,Gaia DR3 5725110939362345216,122.86674512936,-13.84072110546,0.0,0.0,96.0,1636148068921376768,5725110939362345216,1239179513,0.0232,0.0187,0.7308,0.0364,20.057,2.186,-2.18,0.039,-0.161,0.028,-0.0466,0.0251,0.08,0.1038,-0.0615,0.0709,0.0629,0.4471,-0.2281,0.0306,420,0,419,1,1.2228,469.58,0.0,0.0,31,false,1.543,,,,,,,,48,21,0.054858,50,0.01468,13.47,0,0,1.042,0,427,10945.74192,5.68703,1924.68,15.589253,0.002812,45,5720.73,14.2204,402.29,15.944914,0.003882,44,7439.47,16.5987,448.197,15.06904,0.004489,1.202,0,2,0,1,0,0.875874,0.35566,0.520213,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.0,0.0,0.999913,5588.5,5524.0,5671.3,4.5148,4.443,4.554,-0.2833,-0.3626,-0.1769,1134.9094,1061.6361,1282.528,0.0845,0.0434,0.1375,0.0704,0.036,0.1147,0.0378,0.0193,0.0615,MARCS,122.86675510683,-13.84072038964,0.615897,0.441398,0.0237,0.0
