RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
120.75025957629,-12.17685993526,-3.204,1.178,18.310925,1.713646,0.8691,3
120.74851389143,-12.16904830919,-2.522,0.119,20.078209,1.509783,0.8023,3
120.83081769654,-12.11014567255,-4.052,1.251,20.33407,2.254425,0.8398,3
120.86589774609,-12.05384856371,-1.33,1.063,20.021528,1.229128,0.8302,3
120.80166560868,-12.01664536448,-1.865,-0.244,18.960209,1.272158,0.8452,3
120.80102267552,-12.01406529825,-2.554,0.324,19.914051,2.34215,0.8328,3
120.84519055292,-11.95379283861,-3.944,1.176,20.00084,1.901588,0.8932,3
120.96676399579,-11.9837133694,-2.259,-0.31,20.102997,2.181265,0.7669,3
120.91778796391,-11.93782648401,-0.889,-1.15,20.134151,1.376902,0.9032,3
121.03985435578,-11.91024247919,-3.644,0.789,19.961433,1.935785,0.8901,3
121.04023594958,-11.86627588443,-1.791,0.931,20.3728,0.954132,0.8591,3
121.06625533242,-11.86274848624,-1.721,-0.69,17.438488,1.437796,0.8039,3
120.98686291471,-11.8980317321,-0.385,0.689,19.837698,1.738537,0.7937,3
120.88594473275,-11.9089608568,-2.493,1.003,20.51915,1.274704,0.8879,3
121.0116632532,-11.79949193632,-0.579,0.306,20.143957,1.362501,0.8459,3
121.13542729318,-11.83951385968,-3.014,0.842,19.864704,1.523508,0.8906,3
121.12840307313,-11.81314833603,-0.891,0.742,20.469784,1.368164,0.8073,3
121.13529705534,-11.7725785788,-2.092,0.196,17.930393,1.689016,0.8272,3
121.26482478675,-11.71757000867,-0.96,-0.273,18.120073,1.842138,0.802,3
121.00462638322,-11.69159200276,-3.221,1.182,19.075739,1.492111,0.803,3
121.00747223171,-11.6597948404,-1.98,-0.324,18.795395,1.143906,0.8451,3
121.17297273608,-11.635558484,-2.222,0.853,19.67567,1.670484,0.7681,3
121.04726133141,-11.65830303226,-3.888,-0.501,20.240522,1.676844,0.8302,3
121.26823437536,-11.6851910321,-3.623,-0.394,20.132992,1.818832,0.7657,3
