RAJ2000,DEJ2000,pmRA,pmDE,Gmag,BP-RP,Plx,cluster
121.8338256928,-11.19357103175,-2.76,-0.602,15.074153,0.781201,0.741,4
121.91308173056,-11.09568382728,-1.113,-0.095,19.971558,1.029859,0.8111,4
121.80869713346,-11.06197069432,-2.925,-0.44,15.38996,0.879972,0.821,4
121.99389115512,-11.09298348791,-0.504,-0.445,16.565475,0.94449,0.7296,4
122.05518264328,-11.05617258373,-0.669,-0.392,15.24745,0.756501,0.6985,4
122.14011895197,-10.93524451094,-2.933,0.392,20.078522,1.314686,0.8046,4
122.21264147029,-10.90725996522,-2.199,-0.669,19.791594,1.118877,0.6866,4
122.26155167628,-10.87302508925,-2.488,-1.005,18.853415,1.954908,0.8553,4
123.63006780303,-14.58892012541,-2.401,-0.828,19.020638,1.998192,0.6099,4
123.78734639867,-14.49514506392,-2.089,-0.624,17.267841,1.390625,0.7766,4
123.80680689311,-14.46467892872,-1.006,-0.769,20.05625,0.847733,0.7705,4
123.85066963028,-14.4595423863,-1.386,-0.747,19.741743,1.904215,0.751,4
123.82794533029,-14.45292475404,-1.658,-1.141,14.280123,1.132804,0.7178,4
123.85012784347,-14.43022442096,-2.379,-1.155,18.371065,1.624695,0.7758,4
123.96862816761,-14.36827825512,-0.631,-1.068,19.484411,1.384842,0.7993,4
123.87861160679,-14.43323719645,-1.479,-0.397,16.193447,1.01761,0.6705,4
123.87117520558,-14.37594536627,-0.549,0.001,19.494967,0.84293,0.8186,4
124.05900222644,-14.26000973914,-0.921,-0.236,19.007973,1.897284,0.5889,4
124.12060520883,-14.22525189784,-0.813,0.372,19.837593,1.430672,0.8496,4
124.13329165612,-14.14445591515,-1.144,-0.321,19.610418,1.120426,0.7634,4
124.23768732617,-14.10542026898,-4.011,-0.879,18.558569,1.998079,0.7841,4
124.24427806412,-14.04601345738,-1.421,-1.067,16.058363,1.053507,0.7464,4
124.3283650392,-13.99955000823,-1.647,0.128,20.03392,1.533318,0.893,4
122.56959447774,-14.82924172088,-1.926,-0.168,17.775236,1.757011,0.7707,4
122.63514134614,-14.80567291129,-4.108,-1.11,19.965061,1.404333,0.8808,4
122.65136310567,-14.79182335221,-0.841,0.081,20.14202,1.695839,0.849,4
122.53660094779,-14.77590837352,-0.946,0.326,20.213806,0.647078,0.8107,4
122.59130588352,-14.76531770856,-2.349,-0.78,19.792002,1.720428,0.7796,4
122.6359788127,-14.75093980507,-4.004,-0.106,15.492035,0.898757,0.7517,4
122.62978747548,-14.74290999267,-4.012,-0.056,17.600521,1.52269,0.7366,4
122.43984614158,-14.8143196766,-1.147,-1.003,19.743126,1.05172,0.7822,4
